ID,Region_East Midlands,Region_East of England,Region_London,Region_North East,Region_North West,Region_Scotland,Region_South East,Region_South West,Region_Wales,Region_West Midlands,Region_Yorkshire and The Humber,Type_Large City,Type_Large Town,Type_Rural,Type_Small City,Type_Small Town,Population,%0-9YO,%10-19YO,%20-29YO,%30-39YO,%40-49YO,%50-59YO,%60-69YO,%70-79YO,%80+YO,AreaKM2,PopDensity,Businesses,%BusinessGrowth,BusinessesPer1kCap,%Unemployment,UnemploymentChange,2019Wage,HousePrice,%HousePriceGrowth,HousePricePerWage,%OwnOutright,%OwnWithMort,%PrivateRent,%SocialHousing,%Heavy Industry & Manufacturing,%Wholesale & Retail,%Agriculture,%Hospitality,%Public Admin & Defence,%Transport,%Health & Social Work,%Support & Admin,%Education,%Sciences,%FS & ICT,%Other Industry,%NoQuals,%Level1,%Level2,%Level3,%Level4+,%White,%Mixed,%Asian,%Black,%NoReligion,%Christian,%Muslim,%Buddhist,%Hindu,%Jewish,%Sikh,%BornUK,%BornIreland,%BornOtherEU,%BornOtherEurope,%BornAfrica,%BornME,%BornSouthAsia,%BornSEAsia,%BornEastAsia,%BornNAmerica,%BornLatinAmerica,%BornAustralasia,MbpsSpeed,%UnableDecent,%Under10Mbps,%LeaveVote,%17Turnout,Winner_17,seat_types_17,seat_types_yg
E14000743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,101672,0.1111,0.1033,0.1149,0.1257,0.1189,0.14550000000000002,0.1234,0.0969,0.0602,724.198970465069,140.39235644688623,4650,0.08518086347724617,45.735305688881894,0.022740152000000003,-0.010297787,520,195000.0,0.21118012422360244,7.211538461538463,0.360475426,0.295320026,0.157484843,0.16040833,0.231,0.174,0.038,0.057,0.057999999999999996,0.032,0.134,0.045,0.08900000000000001,0.044000000000000004,0.04,0.05800000000000001,0.24,0.18100000000000002,0.17600000000000002,0.13699999999999998,0.266,0.978695688,0.00794937,0.009385385,0.001959135,0.31770812000000004,0.667952242,0.002646371,0.003661839,0.00156936,0.000759037,0.000492348,0.925624667,0.0030874329999999997,0.044854962000000005,0.001897592,0.006780043,0.00111804,0.0045747340000000004,0.003384893,0.0019283638,0.002841259,0.001302671,0.002595085,31.2,0.03493,0.2968,0.604,0.7111608147647985,Con,con safe,con safe
E14000744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114426,0.1231,0.1205,0.1026,0.133,0.15109999999999998,0.1468,0.0984,0.0742,0.0504,156.62026511058403,730.5951111703702,9715,0.939121756487026,84.9020327547935,0.014192703999999999,-0.008424187000000001,720,379000.0,0.7227272727272727,10.122863247863249,0.30906581,0.400787544,0.14098850400000001,0.126504933,0.175,0.157,0.003,0.043,0.057999999999999996,0.053,0.08800000000000001,0.05,0.105,0.095,0.113,0.06,0.16899999999999998,0.17625,0.17625,0.12925,0.34924999999999995,0.949096157,0.017486482,0.022340715,0.008284057,0.358463514,0.617162242,0.008255944,0.003439196,0.005229077,0.00297064,0.0013775520000000002,0.912183374,0.008368397,0.03366101,0.003720329,0.012613508,0.001564975,0.008199716999999999,0.003973349,0.003710958,0.005453983000000001,0.00279259,0.003757813,61.9,0.00698,0.1429,0.4920000000000001,0.7313909568977034,Con,con safe,con safe
E14000745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104205,0.1348,0.1213,0.1059,0.1282,0.1359,0.1392,0.1003,0.079,0.0554,101.11372728211201,1030.5722358474948,7410,0.5278350515463917,71.10983158197783,0.02448149,-0.009323034000000001,680,448250.0,0.7929999999999999,12.67675339366516,0.31396752,0.36221026700000003,0.12521997099999999,0.17426718300000002,0.131,0.166,0.002,0.042,0.045,0.047,0.11199999999999999,0.055,0.10400000000000001,0.09300000000000001,0.115,0.08900000000000001,0.19399999999999998,0.1845,0.1725,0.12649999999999995,0.3225,0.8503663859999999,0.026181884,0.07390708900000001,0.03925783,0.269846348,0.517079705,0.024012556,0.005908168,0.03171017,0.142885705,0.0016394920000000002,0.830132658,0.014975358000000001,0.045925763,0.008247443,0.044366246,0.008187462,0.02048365,0.008697304,0.0056882370000000005,0.007577650999999999,0.0026391820000000003,0.003079046,60.8,0.00805,0.1626,0.508,0.7121844455621865,Con,con safe,con safe
E14000746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77334,0.0916,0.1056,0.08199999999999999,0.0938,0.1196,0.16510000000000002,0.1487,0.12,0.0737,2439.64705864494,31.698847473024987,3990,0.08130081300813008,51.594382807044774,0.016654432,-0.007639065,580,230000.0,0.21052631578947367,7.625994694960212,0.394118729,0.31307494199999997,0.13786336300000002,0.12743775300000001,0.16699999999999998,0.133,0.040999999999999995,0.061,0.063,0.042,0.152,0.033,0.107,0.07400000000000001,0.054000000000000006,0.07400000000000001,0.187,0.162,0.162,0.122,0.368,0.9800356790000001,0.006270004,0.011595572,0.0009182010000000001,0.28263549999999993,0.702424052,0.00369904,0.002623432,0.002387324,0.001049373,0.002426675,0.965646152,0.002387324,0.010559316000000001,0.001167427,0.0049189360000000005,0.00097067,0.004210609000000001,0.002793956,0.0013641851999999998,0.003384228,0.0007476786,0.00184952,29.8,0.06471,0.2144,0.453,0.7584066303048171,Con,con safe,con safe
E14000747,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107269,0.1297,0.1117,0.12300000000000001,0.131,0.1235,0.1418,0.1129,0.0797,0.0467,72.594813758028,1477.6399917154895,3430,0.3450980392156864,31.9756872908296,0.05011387900000002,-0.008906946999999991,490,132997.5,0.22072051399724635,5.2196821036106735,0.291413433,0.357777333,0.120105078,0.21313920600000005,0.212,0.185,0.002,0.043,0.053,0.061,0.136,0.05,0.096,0.047,0.06,0.057,0.281,0.19925,0.18025,0.12925,0.20925,0.922334302,0.014755424,0.048097099000000004,0.011636861,0.2531907520000001,0.699838297,0.038471904,0.002252296,0.0028394320000000002,0.001183899,0.000221379,0.935491944,0.009018808,0.017873987,0.001347527,0.01037596,0.0016266579999999998,0.015756443999999998,0.002184919,0.0029645596,0.0020309160000000002,0.0005197606000000001,0.000808516,50.4,0.00312,0.1904,0.624,0.6252988072740016,Lab,lab safe,con lab marginal
E14000748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92221,0.1042,0.1083,0.1092,0.1117,0.1293,0.1618,0.1283,0.0971,0.0501,540.2071583471869,170.71413915017072,3965,0.17134416543574593,42.99454571084678,0.023307855,-0.013167008999999995,550,185000.0,0.2457912457912459,6.468531468531468,0.35158938,0.36886971700000004,0.134314179,0.126970677,0.22899999999999998,0.14400000000000002,0.01,0.053,0.048,0.047,0.132,0.039,0.11599999999999999,0.065,0.055999999999999994,0.06,0.209,0.17975000000000002,0.16875,0.13975,0.30275,0.978677991,0.010385953,0.007822471,0.002024381,0.3478854020000001,0.641024513,0.001958368,0.0032566120000000003,0.0008471589999999999,0.000385072,0.00036306800000000003,0.9647713770000002,0.005005941,0.012531356,0.001067201,0.004477842,0.000836157,0.001881354,0.0029815609999999998,0.0016283061000000002,0.002673503,0.000561106,0.0015842979999999998,29.0,0.03474,0.2229,0.505,0.7373989733508082,Lab,con lab marginal,con lab marginal
E14000749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104025,0.1354,0.1233,0.0864,0.1242,0.1552,0.1418,0.0986,0.0797,0.0554,256.30649475478,405.86174025564753,5810,0.2374866879659212,55.85195866378274,0.015510659,-0.007820609999999999,820,445000.0,0.8388429752066116,10.436210131332082,0.339506021,0.379250905,0.13191657,0.130611441,0.14800000000000002,0.141,0.005,0.036000000000000004,0.054000000000000006,0.034,0.1,0.045,0.114,0.122,0.132,0.07,0.14,0.1475,0.1525,0.1195,0.4405000000000001,0.904002731,0.026092544,0.04661319,0.018251728999999998,0.35200337299999995,0.600530083,0.014476893999999999,0.0038852690000000002,0.009637877,0.003915387,0.011826478,0.894063671,0.008784523,0.027066371000000002,0.0029214809999999996,0.019255674,0.002299035,0.016464706000000003,0.00516028,0.0048691358,0.011143795,0.002640376,0.005330951,58.2,0.016030000000000003,0.1377,0.398,0.7761341482691396,Con,con safe,con safe
E14000750,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,159344,0.1044,0.1146,0.2247,0.17559999999999998,0.1213,0.1064,0.07440000000000001,0.0497,0.0288,13.181104033118201,12088.820450824152,25280,0.5879396984924623,158.65046691434884,0.036858826000000004,-0.021892638,680,725000.0,0.9333333333333332,20.503393665158374,0.14111489300000002,0.133862443,0.280639037,0.41846980100000003,0.051,0.102,0.001,0.071,0.038,0.031,0.107,0.040999999999999995,0.11,0.17,0.16899999999999998,0.11100000000000004,0.147,0.10774999999999996,0.10475,0.16774999999999998,0.47375,0.636403179,0.056767078,0.17832972100000002,0.092655667,0.4714321520000001,0.33694578399999997,0.141195205,0.012385543999999998,0.011456628,0.019079636,0.001902066,0.597683608,0.022876395,0.099357131,0.02700491,0.060917709,0.016174931,0.054326831,0.024048599,0.028287698000000007,0.034170832000000005,0.01551142,0.019625189,54.1,0.00062,0.1002,0.267,0.6717714104077739,Lab,lab safe,lab safe
E14000751,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,111035,0.12539999999999998,0.1152,0.1184,0.1309,0.1269,0.1344,0.1054,0.08289999999999999,0.0605,57.6503729422956,1926.006621173796,4225,0.4670138888888888,38.05106497951097,0.02787523,-0.014919679000000003,650,380000.0,0.7674418604651163,11.242603550295858,0.375348881,0.367827239,0.08571834099999999,0.159231752,0.17600000000000002,0.14300000000000002,0.001,0.033,0.064,0.064,0.106,0.047,0.094,0.068,0.142,0.06,0.264,0.2135,0.1855,0.1245,0.2115,0.897837544,0.017628299,0.040837757,0.038834763,0.286875523,0.668980806,0.016072575,0.0028391959999999996,0.011823503,0.004161562,0.00617428,0.910429186,0.009392684,0.019825759,0.004608833,0.023647006,0.00172102,0.014439064,0.004744958,0.0033448067,0.004842191,0.0013807047,0.0016237869999999998,58.0,0.00796,0.1601,0.695,0.6949704215242197,Con,con safe,con safe
E14000752,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128616,0.1245,0.10300000000000001,0.13449999999999998,0.1983,0.1577,0.1239,0.0793,0.0504,0.0284,16.443456075520597,7821.713355714243,7065,0.4952380952380953,54.93095726814704,0.030905461000000002,-0.022493339,710,620000.0,1.0,16.793066088840735,0.189051164,0.266296052,0.322415905,0.19785169100000002,0.07700000000000001,0.1,0.0,0.062,0.040999999999999995,0.026000000000000002,0.107,0.051,0.12300000000000001,0.147,0.158,0.109,0.124,0.10175,0.11575,0.11675,0.54275,0.712942262,0.06278194599999999,0.082433626,0.106461186,0.4139900870000001,0.42469110299999996,0.09138429,0.009992919,0.017201187,0.033559023,0.003293844,0.633158033,0.021036048999999998,0.12888956099999999,0.040632036,0.058382197999999996,0.01166371,0.023582016,0.010287296,0.0133345,0.032031443,0.013565228,0.01343793,59.8,0.00502,0.1203,0.25,0.7811647862307057,Lab,lab safe,lab safe
