pcon-code,pcon-nm,Name,Speed,Superfast,UnableDecent,Under2,Under10,Over30
E14001051,Wolverhampton South West,Wolverhampton South West,60,0.98915,0.00170,0.00490,0.12610,0.62660
E14001052,Worcester,Worcester,34.7,0.98230,0.00021,0.02010,0.25770,0.57030
E14001053,Workington,Workington,30,0.93401,0.02674,0.03700,0.22240,0.44370
E14001054,Worsley and Eccles South,Worsley and Eccles South,60.1,0.98232,0.01498,0.00950,0.17620,0.63330
E14001055,Worthing West,Worthing West,55.2,0.99328,0.00010,0.00670,0.15420,0.60140
W07000044,Wrexham,Wrexham,31.1,0.97053,0.00723,0.01770,0.25690,0.50130
E14001056,Wycombe,Wycombe,41.7,0.96395,0.01278,0.01860,0.22860,0.58300
E14001057,Wyre and Preston North,Wyre and Preston North,38.2,0.94621,0.01127,0.02140,0.22280,0.49120
E14001058,Wyre Forest,Wyre Forest,47.4,0.96003,0.01418,0.01500,0.21120,0.56740
E14001059,Wythenshawe and Sale East,Wythenshawe and Sale East,65.2,0.97847,0.02905,0.01180,0.19340,0.66460
E14001060,Yeovil,Yeovil,30,0.91149,0.03062,0.02440,0.24330,0.45140
W07000041,Ynys Mon,Ynys Mon,29.4,0.89706,0.03570,0.03960,0.26740,0.41770
E14001061,York Central,York Central,48.2,0.96469,0.00531,0.00930,0.20020,0.51100
E14001062,York Outer,York Outer,38.9,0.95327,0.01260,0.03310,0.23800,0.50590
