mnemonic, Highest level of qualifications [Census 2011]|No qualifications (percent), Level 1 qualifications (percent), Level 2 qualifications (percent), Apprenticeship (percent), Level 3 qualifications (percent), Level 4 qualifications and above (percent), Other qualifications (percent)
E14000896, 9.6,6.7,9.7,1.2,10.4,55.2,7.2 
E14000900, 24.9,16.7,17.5,3.6,11.6,20.6,5.1 
E14000906, 15.2,11.1,14.4,2.8,10.9,39.3,6.4 
E14000978, 13.5,8.5,10.2,1.1,9.6,46.6,10.6 
E14000984, 17.1,13.3,15.4,2.8,11.7,32.9,6.8 
E14000998, 12.2,7.3,8.8,1.0,10.4,51.4,8.9 
E14001002, 23.4,10.5,11.0,1.1,9.8,29.3,14.9 
E14001005, 11.6,8.2,11.5,1.8,11.6,49.5,5.8 
E14001007, 17.9,13.7,14.5,3.3,15.7,27.7,7.3 
E14001008, 14.2,7.9,8.8,0.9,9.5,48.7,10.0 
E14001013, 20.6,11.6,11.8,1.3,9.5,31.3,14.1 
E14001032, 20.8,11.0,11.3,1.1,10.0,30.5,15.4 
E14001036, 15.3,7.4,8.2,0.8,8.3,47.3,12.8 
E14001040, 10.0,6.7,9.7,1.4,9.2,54.4,8.6 
E14000530, 18.5,16.4,17.1,3.7,12.5,25.0,6.8 
E14000534, 17.9,12.5,17.2,3.5,12.0,33.0,3.9 
E14000536, 21.3,15.8,17.8,3.8,12.0,24.3,5.0 
E14000538, 18.1,14.4,16.6,3.7,12.1,30.0,5.1 
E14000539, 19.7,15.5,16.2,3.9,11.8,27.3,5.6 
E14000545, 17.7,15.7,16.9,3.7,12.6,28.0,5.3 
E14000550, 16.5,11.8,14.9,3.6,11.1,37.0,5.0 
E14000557, 23.4,14.0,16.9,3.8,11.6,25.9,4.4 
E14000576, 26.0,14.8,16.8,4.0,11.7,20.1,6.5 
E14000586, 16.5,15.1,16.9,3.4,12.7,30.5,5.0 
E14000597, 22.5,13.2,13.5,2.9,15.4,27.0,5.5 
E14000598, 12.2,9.3,11.6,1.8,19.6,40.4,5.1 
E14000608, 16.2,12.4,16.0,3.7,12.2,35.7,3.8 
E14000619, 17.9,10.6,13.5,2.9,19.9,29.7,5.5 
E14000626, 24.2,17.3,18.4,4.5,12.2,18.1,5.3 
E14000631, 14.7,10.7,15.1,3.3,11.1,41.0,4.2 
E14000633, 19.5,11.5,15.8,3.5,12.8,32.4,4.4 
E14000652, 20.1,18.0,17.1,3.4,11.3,21.5,8.5 
E14000659, 21.1,17.2,18.1,4.3,11.5,22.3,5.4 
E14000670, 25.5,15.0,17.7,3.6,12.2,20.7,5.3 
E14000680, 17.0,12.4,16.5,3.3,12.7,34.1,4.0 
E14000681, 17.2,14.0,17.6,3.1,12.4,31.4,4.3 
E14000682, 23.6,15.5,16.8,4.1,11.8,23.7,4.5 
E14000684, 23.4,13.7,16.6,3.6,12.5,24.4,5.7 
E14000685, 18.5,14.9,17.4,5.8,13.5,26.0,4.0 
E14000694, 15.8,12.1,16.0,2.8,11.9,36.4,4.9 
E14000697, 13.9,10.3,14.0,2.3,11.1,42.8,5.5 
E14000699, 17.4,13.3,17.2,5.5,13.5,29.5,3.6 
E14000700, 22.9,14.8,16.9,4.3,11.5,25.3,4.4 
E14000704, 24.4,14.8,17.5,3.8,11.9,22.2,5.3 
E14000711, 22.1,16.9,18.5,4.9,13.3,19.1,5.2 
E14000713, 21.2,15.5,17.8,5.1,13.3,23.0,4.2 
E14000715, 24.4,16.4,17.0,4.3,11.1,20.0,7.0 
E14000719, 13.6,9.9,13.1,2.6,14.9,40.6,5.3 
E14000735, 25.5,15.5,17.2,3.2,11.8,21.8,5.0 
E14000736, 26.1,14.7,16.9,4.5,11.8,22.2,3.9 
E14000742, 15.8,11.2,14.7,3.8,11.9,38.7,3.9 
E14000753, 15.6,13.7,18.0,3.4,13.0,32.2,4.1 
E14000755, 16.5,11.8,13.5,2.3,11.8,38.4,5.6 
E14000762, 24.3,14.6,16.8,5.0,12.2,22.6,4.5 
E14000786, 20.9,13.2,15.6,3.2,11.5,31.4,4.2 
E14000803, 15.2,11.5,14.0,3.2,11.1,39.5,5.5 
E14000804, 19.3,14.1,17.6,3.8,12.5,27.2,5.6 
E14000811, 17.8,12.8,16.8,4.8,12.4,31.8,3.5 
E14000817, 14.6,13.6,17.4,3.3,13.4,33.5,4.3 
E14000821, 16.9,15.5,16.4,3.4,11.5,29.5,6.7 
E14000822, 19.1,16.4,16.9,3.4,11.4,27.0,5.9 
E14000824, 15.6,11.5,16.0,2.8,11.4,38.5,4.2 
E14000827, 20.2,14.0,17.0,6.0,12.8,25.8,4.1 
E14000828, 22.1,12.5,16.3,4.8,11.2,28.8,4.3 
E14000830, 17.4,13.7,16.2,3.6,12.2,32.5,4.4 
E14000844, 13.3,12.1,15.8,3.4,12.9,38.9,3.6 
E14000852, 28.4,15.2,16.5,4.2,11.3,19.5,5.0 
E14000857, 18.9,14.5,16.7,4.5,12.8,28.3,4.2 
E14000873, 15.4,9.3,9.4,2.0,19.0,37.7,7.2 
E14000874, 14.4,9.9,12.0,3.6,11.7,43.4,5.0 
E14000883, 23.9,15.4,17.1,5.1,13.2,20.7,4.6 
E14000884, 18.8,11.2,13.2,2.9,22.0,26.2,5.6 
E14000889, 14.2,10.8,11.9,2.5,15.5,38.4,6.8 
E14000890, 20.9,15.6,14.9,3.6,10.8,27.7,6.5 
E14000893, 16.2,12.4,16.1,2.7,11.8,36.1,4.7 
E14000898, 22.3,16.6,18.2,4.8,12.6,20.5,5.1 
E14000901, 16.6,10.8,14.0,3.7,16.2,34.1,4.7 
E14000907, 16.6,12.0,14.2,3.1,14.2,33.8,6.1 
E14000918, 19.0,13.7,16.3,3.4,10.9,32.5,4.2 
E14000927, 28.2,16.9,17.5,4.5,11.3,16.5,5.0 
E14000930, 20.3,14.6,13.3,2.2,10.0,25.9,13.7 
E14000948, 27.0,14.1,16.3,3.8,11.3,21.9,5.5 
E14000953, 15.1,10.2,14.8,2.9,12.3,40.7,4.1 
E14000955, 22.3,14.7,15.9,4.8,16.2,20.7,5.4 
E14000956, 21.0,12.3,12.9,2.9,16.5,26.9,7.5 
E14000959, 20.4,16.1,16.1,3.9,11.4,25.9,6.2 
E14000983, 15.9,13.7,16.2,3.6,12.3,33.3,4.9 
E14000997, 19.1,13.9,17.2,3.5,11.9,30.4,3.9 
E14001004, 16.9,12.4,16.4,2.8,12.0,34.9,4.6 
E14001015, 17.2,12.9,15.2,3.8,11.9,34.9,4.0 
E14001023, 18.3,13.9,17.5,3.5,12.5,30.2,4.1 
E14001041, 13.8,9.3,14.6,3.1,14.4,41.0,3.8 
E14001042, 14.8,12.1,15.1,3.0,11.7,37.7,5.6 
E14001046, 17.6,13.3,15.8,3.9,12.3,32.9,4.1 
E14001047, 15.2,12.2,14.4,2.6,11.3,38.0,6.2 
E14001048, 12.7,11.7,15.2,3.2,12.5,40.6,4.1 
E14001055, 23.0,13.9,17.0,3.8,11.8,25.5,5.0 
E14001056, 17.9,13.0,15.0,3.4,12.9,31.4,6.3 
E14000547, 13.9,8.6,12.1,2.7,20.3,38.0,4.4 
E14000584, 18.6,13.2,15.7,3.7,13.9,28.1,6.8 
E14000585, 20.9,13.1,15.4,4.0,17.2,23.4,5.9 
E14000595, 25.4,14.7,17.1,4.5,11.6,21.7,5.0 
E14000599, 23.8,14.9,15.5,4.3,13.1,23.1,5.3 
E14000600, 21.4,12.1,13.5,3.1,12.5,32.4,5.1 
E14000601, 27.9,15.1,14.0,3.8,10.6,24.3,4.4 
E14000602, 10.2,6.9,9.2,1.1,20.5,47.2,5.0 
E14000616, 24.2,13.3,17.2,4.8,13.8,22.2,4.4 
E14000623, 20.5,12.7,16.4,3.8,11.7,30.9,4.0 
E14000630, 16.3,11.2,14.2,3.0,14.0,36.7,4.5 
E14000635, 18.2,14.4,17.2,4.0,12.5,29.9,3.7 
E14000638, 24.4,13.4,16.3,5.4,11.0,24.9,4.6 
E14000665, 17.1,14.8,18.4,3.8,13.2,28.5,4.2 
E14000678, 19.4,13.0,16.9,4.0,11.4,31.1,4.2 
E14000698, 18.5,12.5,13.9,3.1,18.9,27.9,5.2 
E14000702, 16.4,13.9,15.7,4.7,14.9,29.6,4.8 
E14000705, 24.1,14.2,16.8,4.5,12.0,24.6,3.9 
E14000712, 22.2,16.2,17.1,4.2,13.0,21.8,5.4 
E14000774, 21.2,16.0,17.4,6.2,13.3,22.2,3.7 
E14000815, 18.9,14.6,17.5,5.3,12.8,27.1,3.9 
E14000835, 22.5,14.2,17.0,4.7,11.9,25.5,4.3 
E14000837, 24.2,14.5,17.6,4.2,12.1,23.0,4.5 
E14000838, 24.1,14.4,17.2,4.7,12.4,22.9,4.3 
E14000839, 19.7,14.2,17.5,4.3,12.5,27.5,4.2 
E14000846, 20.6,13.6,16.5,4.8,12.3,28.6,3.5 
E14000850, 16.4,12.8,16.6,4.3,12.4,34.0,3.4 
E14000851, 21.4,18.1,17.6,5.1,12.1,20.8,4.9 
E14000860, 17.6,13.5,17.0,3.7,12.6,32.1,3.5 
E14000879, 28.7,15.6,17.6,5.8,12.6,15.7,4.1 
E14000880, 18.5,11.9,15.6,3.8,21.0,24.6,4.6 
E14000881, 22.0,13.9,16.1,4.7,12.0,26.3,4.9 
E14000912, 19.3,12.4,16.0,3.6,12.3,32.2,4.2 
E14000932, 20.9,13.2,16.8,4.2,12.0,28.9,4.0 
E14000936, 21.8,14.6,17.3,5.0,12.8,24.1,4.5 
E14000938, 21.2,13.3,17.4,5.2,12.5,26.3,4.0 
E14000947, 19.6,16.8,17.1,3.9,11.2,24.7,6.8 
E14000950, 17.9,13.0,17.4,6.3,13.6,28.1,3.6 
E14000954, 20.9,14.9,17.4,4.1,12.6,25.1,5.0 
E14000961, 24.9,14.5,18.4,4.7,12.6,20.6,4.4 
E14000964, 21.8,13.0,17.4,4.4,12.5,26.6,4.2 
E14000980, 18.3,13.3,15.8,4.7,12.3,32.1,3.6 
E14000988, 20.5,13.0,17.9,3.7,12.3,28.1,4.6 
E14000990, 18.7,13.8,16.8,4.5,12.4,29.7,4.2 
E14000991, 18.4,12.5,15.6,3.3,11.8,34.4,4.0 
E14000994, 18.4,14.8,17.0,5.2,12.7,28.1,3.8 
E14000996, 23.5,13.8,17.1,4.1,11.7,25.3,4.5 
E14000999, 25.3,15.0,17.5,4.5,12.0,20.7,4.9 
E14001000, 23.2,13.6,17.1,4.7,12.0,25.3,4.1 
E14001001, 21.9,13.1,16.2,4.5,11.3,28.8,4.1 
E14001003, 18.0,11.5,16.0,4.1,15.1,31.7,3.6 
E14001026, 22.8,13.6,17.1,4.2,11.7,26.5,4.1 
E14001031, 20.2,12.5,16.4,4.4,11.8,30.8,3.9 
E14001038, 22.6,14.5,17.7,4.5,12.9,23.0,4.8 
E14001060, 22.5,14.2,17.0,5.7,12.7,23.0,5.0 
W07000041, 24.2,12.7,16.2,4.7,11.9,26.1,4.2 
W07000042, 24.5,14.8,16.7,4.5,11.5,23.8,4.1 
W07000043, 22.6,15.9,17.8,5.2,12.7,21.3,4.5 
W07000044, 26.5,13.2,15.8,3.8,11.3,23.8,5.7 
W07000045, 28.2,13.9,16.5,5.0,10.9,21.0,4.6 
W07000046, 20.3,11.9,16.6,4.7,11.4,31.7,3.5 
W07000047, 20.9,10.0,13.5,3.3,19.2,27.9,5.1 
W07000048, 30.8,15.2,16.0,4.9,10.7,17.9,4.5 
W07000049, 32.9,15.0,15.8,5.1,10.6,16.6,4.0 
W07000050, 13.8,8.1,11.0,1.9,25.9,33.5,5.9 
W07000051, 16.8,10.6,14.2,3.4,13.8,37.4,3.8 
W07000052, 37.8,14.5,15.8,3.4,10.5,14.0,3.9 
W07000053, 29.5,15.4,16.4,4.3,11.2,19.3,4.0 
W07000054, 21.0,12.0,15.0,3.8,10.5,33.9,3.7 
W07000055, 28.0,15.0,15.7,4.3,11.7,20.5,4.7 
W07000056, 24.9,13.4,15.3,3.9,11.2,26.5,4.6 
W07000057, 21.0,10.6,14.6,3.4,18.1,27.9,4.4 
W07000058, 23.7,13.1,16.4,3.9,11.1,27.1,4.6 
W07000059, 25.5,12.6,16.1,3.8,11.5,25.9,4.5 
W07000060, 27.2,14.6,16.8,3.9,11.5,21.8,4.3 
W07000061, 25.3,12.9,17.6,4.1,11.0,25.0,4.2 
W07000062, 26.6,14.6,16.5,4.1,11.6,22.3,4.2 
W07000063, 25.2,13.3,17.1,3.7,11.5,24.7,4.6 
W07000064, 19.8,10.5,15.0,3.2,19.2,27.9,4.3 
W07000065, 24.0,13.6,17.0,4.2,11.8,25.4,4.0 
W07000066, 25.0,13.1,16.5,4.0,12.1,25.0,4.4 
W07000067, 26.2,12.5,16.4,4.0,10.8,25.9,4.2 
W07000068, 24.4,11.9,15.8,3.9,11.6,27.8,4.5 
W07000069, 29.1,13.8,16.1,5.1,11.2,20.7,3.9 
W07000070, 33.8,14.7,16.2,3.5,10.4,17.4,4.0 
W07000071, 35.7,14.5,15.1,3.6,10.0,16.4,4.6 
W07000072, 36.0,15.8,15.5,3.5,9.8,15.2,4.2 
W07000073, 24.0,13.4,16.2,4.2,11.3,26.6,4.3 
W07000074, 33.3,14.8,15.6,4.1,10.4,18.0,3.8 
W07000075, 25.2,13.0,15.2,3.6,13.0,25.8,4.2 
W07000076, 29.3,14.4,16.6,4.0,11.5,20.6,3.6 
W07000077, 31.6,15.4,16.2,3.9,11.2,18.1,3.7 
W07000078, 21.2,13.7,17.3,4.3,12.1,27.2,4.1 
W07000079, 25.2,12.2,13.7,3.1,9.6,31.6,4.6 
W07000080, 25.6,12.5,13.9,3.1,10.4,29.4,5.1 
S14000001, 22.5,22.9,16.6,,9.2,29.0,
S14000002, 17.0,19.4,13.5,,9.8,40.3,
S14000003, 36.0,25.8,12.8,,9.8,15.5,
S14000004, 29.8,25.6,12.9,,10.7,21.0,
S14000005, 24.7,22.8,14.8,,8.8,28.9,
S14000006, 32.9,23.4,13.3,,9.4,21.0,
S14000007, 31.3,27.7,12.5,,9.8,18.6,
S14000008, 29.2,23.4,13.7,,8.8,25.0,
S14000009, 29.8,25.7,13.8,,9.6,21.1,
S14000010, 29.6,23.8,13.8,,11.2,21.5,
S14000011, 33.9,25.3,13.5,,10.3,17.0,
S14000012, 27.2,26.2,15.4,,11.3,19.8,
S14000013, 32.3,24.4,13.4,,7.9,22.0,
S14000014, 30.9,23.4,13.3,,7.6,24.8,
S14000015, 25.3,24.0,13.7,,10.6,26.4,
S14000016, 26.3,21.6,17.0,,9.9,25.3,
S14000017, 24.3,24.8,14.5,,11.7,24.7,
S14000018, 17.9,17.8,16.4,,9.6,38.3,
S14000019, 25.2,24.6,16.2,,11.4,22.5,
S14000020, 25.1,25.0,14.3,,8.6,27.0,
S14000021, 19.2,18.4,17.2,,9.9,35.2,
S14000022, 19.8,19.1,18.5,,7.4,35.2,
S14000023, 14.5,15.8,12.3,,7.9,49.5,
S14000024, 14.7,15.5,16.5,,6.4,46.9,
S14000025, 17.7,20.5,15.3,,7.9,38.6,
S14000026, 19.3,22.0,14.5,,8.1,36.2,
S14000028, 26.4,27.3,14.5,,10.6,21.2,
S14000029, 24.7,15.2,15.8,,9.7,34.6,
S14000030, 42.2,24.7,11.7,,8.6,12.7,
S14000031, 19.6,13.5,18.6,,7.8,40.6,
S14000032, 42.5,21.7,10.6,,8.4,16.7,
S14000033, 30.1,19.4,12.3,,9.0,29.2,
S14000034, 27.0,18.9,13.0,,9.7,31.4,
S14000035, 37.6,24.6,12.0,,9.5,16.2,
S14000036, 31.9,27.3,12.8,,12.2,15.8,
S14000037, 21.0,25.8,14.7,,10.3,28.2,
S14000038, 32.6,23.0,13.2,,11.5,19.7,
S14000039, 23.3,24.4,14.6,,9.6,28.1,
S14000040, 32.7,24.0,13.8,,10.3,19.2,
S14000041, 29.7,24.6,13.0,,11.4,21.4,
S14000042, 30.0,22.2,14.2,,10.0,23.6,
S14000043, 27.3,27.4,13.6,,10.2,21.5,
S14000044, 26.5,29.3,14.2,,10.0,19.9,
S14000045, 28.6,27.3,14.5,,8.5,21.1,
S14000046, 26.7,26.3,14.4,,9.9,22.7,
S14000047, 33.2,25.0,13.9,,10.5,17.5,
S14000027, 30.0,20.6,13.7,,9.3,26.4,
S14000048, 30.1,23.3,13.7,,11.5,21.4,
S14000049, 19.2,19.7,17.6,,9.5,33.9,
S14000050, 24.6,23.5,14.4,,9.9,27.7,
S14000051, 25.9,24.4,14.5,,8.5,26.6,
S14000052, 27.0,23.0,14.9,,11.5,23.6,
S14000053, 29.2,23.2,14.1,,10.9,22.5,
S14000054, 24.8,23.2,13.5,,9.8,28.7,
S14000055, 24.9,23.6,14.7,,8.4,28.5,
S14000056, 31.4,24.8,13.7,,10.4,19.7,
S14000057, 21.3,20.4,16.2,,8.7,33.3,
S14000058, 18.1,23.7,14.4,,10.5,33.3,
S14000059, 32.8,25.2,14.4,,11.1,16.5,
N06000001, 27.8,11.2,13.7,4.5,11.2,27.4,4.2 
N06000002, 35.6,13.1,14.2,4.0,10.8,18.7,3.6 
N06000003, 18.6,7.6,11.0,2.5,17.2,39.0,4.2 
N06000004, 38.1,14.0,15.2,3.7,11.3,15.0,2.9 
N06000005, 25.3,12.2,15.7,5.4,13.8,23.9,3.8 
N06000006, 30.9,11.5,15.0,3.9,12.6,22.2,3.9 
N06000007, 31.9,11.2,14.7,3.5,10.9,21.2,6.6 
N06000008, 32.5,11.7,14.8,3.4,12.4,21.8,3.3 
N06000009, 24.5,11.5,15.3,4.6,12.1,28.1,4.0 
N06000010, 32.2,11.5,15.1,4.2,11.9,20.5,4.6 
N06000011, 30.9,11.2,14.9,4.5,11.7,21.3,5.4 
N06000012, 32.2,11.3,15.2,4.6,11.5,20.9,4.3 
N06000013, 20.9,11.5,16.1,4.6,12.9,30.3,3.8 
N06000014, 25.2,12.4,16.6,4.8,12.6,24.3,4.1 
N06000015, 27.1,11.0,15.6,5.3,12.8,23.9,4.3 
N06000016, 26.2,12.5,16.3,5.6,12.5,23.1,3.8 
N06000017, 30.1,12.0,15.7,3.9,11.6,21.5,5.2 
N06000018, 35.5,11.0,14.4,3.4,11.1,20.2,4.4 
E12000001, 26.5,13.7,15.7,4.7,13.1,22.2,4.1 
E12000002, 24.8,13.6,15.8,3.9,12.9,24.4,4.5 
E12000003, 25.8,13.6,15.5,4.2,12.8,23.3,4.9 
E12000004, 24.7,13.9,15.6,4.0,12.9,23.6,5.3 
E12000005, 26.6,13.7,15.4,3.3,12.3,23.3,5.4 
E12000006, 22.5,14.6,16.2,3.7,11.8,25.7,5.4 
E12000007, 17.6,10.7,11.8,1.6,10.5,37.7,10.0 
E12000008, 19.1,13.5,15.9,3.6,12.8,29.9,5.2 
E12000009, 20.7,13.6,16.4,4.3,13.2,27.4,4.5 
W92000004, 25.9,13.3,15.7,3.9,12.3,24.5,4.3 
S92000003, 26.8,23.1,14.3,,9.7,26.1,   
N92000002, 29.1,11.5,14.9,4.2,12.3,23.6,4.3 
