objectid,pcon17cd,pcon17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
267,E14000796,"Liverpool, West Derby",339745,393988,-2.90849996,53.43920135,20606133.2663036,26729.5334663349
268,E14000797,Loughborough,453785,319805,-1.20410001,52.77320099,130581470.877199,77033.4257425269
269,E14000798,Louth and Horncastle,535171,382507,0.0279,53.32229996,1376307248.10147,291360.339068494
270,E14000799,Ludlow,350065,287901,-2.73670006,52.48669815,1554970676.24753,330731.699944583
271,E14000800,Luton North,507002,224395,-0.44589999,51.90779877,18780016.3056477,21111.2547665119
272,E14000801,Luton South,508555,220571,-0.42449999,51.87319946,55755133.2212584,39626.8189750309
273,E14000802,Macclesfield,390591,374746,-2.14249992,53.26959991,301759198.656785,97212.5983154004
274,E14000803,Maidenhead,484373,178129,-0.7859,51.49580002,183349506.747696,81652.2442579714
275,E14000804,Maidstone and The Weald,575796,149220,0.51569998,51.21509933,223645342.93666,118422.875575284
276,E14000805,Makerfield,358209,402916,-2.63170004,53.52130127,55866539.3916735,52623.9215976856
277,E14000806,Maldon,588678,201762,0.72793001,51.68289948,375947287.214938,312858.237878128
278,E14000807,Manchester Central,386354,398829,-2.20709991,53.48600006,28453025.3629302,35910.5925473326
279,E14000808,"Manchester, Gorton",386935,395086,-2.19819999,53.45240021,17302901.6816726,27224.7300290928
280,E14000809,"Manchester, Withington",384007,392132,-2.2421,53.42580032,19304055.8486005,27788.0513711876
281,E14000810,Mansfield,455047,363637,-1.17799997,53.16699982,76658223.6639277,50233.8995268168
282,E14000811,Meon Valley,462539,119561,-1.11059999,50.9720993,402189416.207986,133871.785075009
283,E14000812,Meriden,418290,281451,-1.73239994,52.43080139,145561786.682452,99303.1138354576
284,E14000813,Mid Bedfordshire,504718,239346,-0.4745,52.04259872,457472909.442816,156074.519865997
285,E14000814,Mid Derbyshire,439737,341743,-1.40970004,52.97159958,92144159.2194292,86526.0912698736
286,E14000815,Mid Dorset and North Poole,391551,94607,-2.12109995,50.75099945,175796114.055296,123665.008108378
287,E14000816,Mid Norfolk,597388,311524,0.91755998,52.66550064,760379343.833138,169781.407687587
288,E14000817,Mid Sussex,527731,126921,-0.17990001,51.02750015,188093022.183539,140628.49498767
289,E14000818,Mid Worcestershire,393275,253990,-2.09969997,52.1841011,440829717.039923,218266.545413464
290,E14000819,Middlesbrough,450286,518464,-1.22389996,54.55889893,29146748.4213558,33440.6843171446
291,E14000820,Middlesbrough South and East Cleveland,465116,516429,-0.99510002,54.53900146,197141343.902581,98451.6951285426
292,E14000821,Milton Keynes North,486764,246259,-0.73449999,52.10789871,228801569.021069,79177.230470258
293,E14000822,Milton Keynes South,486551,236093,-0.74010003,52.01649857,79842102.6427316,60612.5895399529
294,E14000823,Mitcham and Morden,528027,168563,-0.1608,51.40159988,16446999.3569548,26963.5917770389
295,E14000824,Mole Valley,514427,147482,-0.36300001,51.21509933,369452800.03941,134934.747464623
296,E14000825,Morecambe and Lunesdale,353509,468965,-2.71259999,54.11439896,253517125.840537,190218.013157559
297,E14000826,Morley and Outwood,431161,425385,-1.52919996,53.72399902,68603195.7751149,63705.2778197607
298,E14000827,New Forest East,435181,105110,-1.50160003,50.8443985,396816707.345091,169756.153270322
299,E14000828,New Forest West,418339,108094,-1.74070001,50.87210083,356187811.546025,162115.86454888
300,E14000829,Newark,475944,357675,-0.86690003,53.11090088,700371746.814348,220504.019823838
301,E14000830,Newbury,447318,172095,-1.32050002,51.44589996,596764229.520544,148490.322861502
302,E14000831,Newcastle upon Tyne Central,422342,565906,-1.65240002,54.98730087,23772099.3594243,21290.887778093
303,E14000832,Newcastle upon Tyne East,427215,565674,-1.57620001,54.98490143,19084612.3165071,24586.6852569896
304,E14000833,Newcastle upon Tyne North,421039,569925,-1.6724,55.02339935,70578403.0421943,54592.940650215
305,E14000834,Newcastle-under-Lyme,380356,348791,-2.29430008,53.0359993,81083321.5062747,52241.8513697553
306,E14000835,Newton Abbot,288933,74357,-3.56929994,50.5583992,203688261.120888,115528.313475704
307,E14000836,"Normanton, Pontefract and Castleford",447021,422148,-1.28929996,53.69369888,86377393.8616107,68612.9921011315
308,E14000837,North Cornwall,212024,78838,-4.6564002,50.57889938,1195232141.0764,376827.765461885
309,E14000838,North Devon,265110,132524,-3.92689991,51.0760994,1085973651.11362,286481.928085122
310,E14000839,North Dorset,390177,113279,-2.14109993,50.91889954,880668073.320577,209180.022811662
311,E14000840,North Durham,423154,551799,-1.6408,54.86050034,104087633.243214,70462.7922952875
312,E14000841,North East Bedfordshire,509132,258803,-0.4039,52.21659851,542687851.516515,188981.794071266
313,E14000842,North East Cambridgeshire,537554,293446,0.02596,52.52149963,724163323.478458,259639.239244817
314,E14000843,North East Derbyshire,437369,365923,-1.44210005,53.18909836,228275226.283572,144236.432111251
315,E14000844,North East Hampshire,477217,151423,-0.89480001,51.25669861,401461111.311887,154295.050801262
316,E14000845,North East Hertfordshire,533034,227739,-0.0664,51.93230057,502210497.74273,157602.214883769
317,E14000846,North East Somerset,364116,161999,-2.51670003,51.35589981,322495874.643754,171407.998715642
318,E14000847,North Herefordshire,348792,251361,-2.7499001,52.15810013,1455512151.96287,337871.786580982
319,E14000848,North Norfolk,623473,330845,1.31579995,52.8288002,728118445.450137,323319.90185028
320,E14000849,North Shropshire,349128,330083,-2.75710011,52.86579895,935256448.7386,266977.927317315
321,E14000850,North Somerset,347309,169216,-2.75909996,51.41949844,228307708.538761,116539.839914361
322,E14000851,North Swindon,417320,190622,-1.75119996,51.61420059,106340019.220017,62857.3479522138
323,E14000852,North Thanet,625041,165662,1.23006999,51.34550095,136915883.384149,77905.7484236608
324,E14000853,North Tyneside,429481,568918,-1.54050004,55.01399994,44183527.7010772,50811.6759950657
325,E14000854,North Warwickshire,424687,296012,-1.6372,52.56140137,266515809.536358,137030.059307937
326,E14000855,North West Cambridgeshire,522387,289492,-0.1989,52.48960114,745980699.887764,227678.53727903
327,E14000856,North West Durham,404359,544374,-1.93369997,54.7942009,701040262.630091,192368.396372003
328,E14000857,North West Hampshire,446060,151304,-1.34119999,51.25899887,589528639.290352,156775.263848382
329,E14000858,North West Leicestershire,439111,316252,-1.42200005,52.74250031,279328196.382151,113615.854392757
330,E14000859,North West Norfolk,574445,328868,0.58789003,52.82910156,787496197.683744,292846.399065819
331,E14000860,North Wiltshire,396155,182656,-2.05679989,51.5428009,714264125.381643,203424.306026148
332,E14000861,Northampton North,477324,263094,-0.86839998,52.26060104,22364088.9026675,25891.6035995346
333,E14000862,Northampton South,480096,261363,-0.82819998,52.24459839,32915686.6153308,39728.8850244517
334,E14000863,Norwich North,623503,311330,1.30297005,52.65359879,36188916.1620127,39003.0223010551
335,E14000864,Norwich South,621219,308012,1.26703,52.62480164,28784006.9269987,42685.2538420017
336,E14000865,Nottingham East,458309,341526,-1.13320005,52.96789932,18691738.7198395,23476.0214982164
337,E14000866,Nottingham North,454115,344384,-1.19519997,52.99409866,23345773.1578885,35625.0106866444
338,E14000867,Nottingham South,454681,339273,-1.18760002,52.94810104,32560460.6008008,38384.2876253395
339,E14000868,Nuneaton,431696,292172,-1.53419995,52.5265007,83031304.5312497,56605.7317833757
340,E14000869,Old Bexley and Sidcup,548002,173628,0.12819,51.44229889,24570163.8946402,28694.2400150558
341,E14000870,Oldham East and Saddleworth,398906,408181,-2.01789999,53.57030106,104409048.765147,57469.9869812362
342,E14000871,Oldham West and Royton,390878,405957,-2.13910007,53.55020142,30851043.4710652,32952.3329990456
343,E14000872,Orpington,544861,162534,0.07851,51.34339905,78751448.9742528,57969.1924761142
344,E14000873,Oxford East,453747,205162,-1.22290003,51.74259949,30622060.4884134,30014.7150768757
345,E14000874,Oxford West and Abingdon,447995,207687,-1.30589998,51.76580048,128750752.055314,84011.0044029756
346,E14000875,Pendle,387637,443368,-2.18950009,53.88639832,169386490.33205,77787.724284301
347,E14000876,Penistone and Stocksbridge,423088,401791,-1.65330005,53.51229858,293840211.134322,104714.590142446
348,E14000877,Penrith and The Border,356508,545631,-2.67810011,54.80369949,3120204845.39462,500786.583764275
349,E14000878,Peterborough,524756,303751,-0.1586,52.61719894,175072114.637989,65376.4539071283
350,E14000879,"Plymouth, Moor View",248145,59475,-4.13870001,50.41540146,32644508.095967,35171.3579671007
351,E14000880,"Plymouth, Sutton and Devonport",247629,55529,-4.14440012,50.37979889,21153212.781349,40016.07064267
352,E14000881,Poole,403952,91153,-1.94529998,50.72000122,30940634.3789198,61530.1251934357
353,E14000882,Poplar and Limehouse,537808,180645,-0.0156,51.50790024,10590515.210955,23724.2403331846
354,E14000883,Portsmouth North,466078,105233,-1.06280005,50.84280014,26931110.7091933,47966.705633151
355,E14000884,Portsmouth South,465420,99877,-1.07309997,50.7947998,13420222.508061,24761.8864121726
356,E14000885,Preston,354517,430860,-2.69149995,53.77209854,26456340.5082854,40446.241131115
357,E14000886,Pudsey,422501,438013,-1.6595,53.83789825,54973424.7285573,63817.4322879468
358,E14000887,Putney,523535,174102,-0.2234,51.45240021,12765573.4356357,18834.9717426429
359,E14000888,Rayleigh and Wickford,584214,192879,0.65875,51.604599,112142863.773535,98049.7617428165
360,E14000889,Reading East,473252,173539,-0.94700003,51.45610046,27564059.2229203,43306.4328490094
361,E14000890,Reading West,467724,172897,-1.02670002,51.45100021,50899686.3903455,45161.4963880025
362,E14000891,Redcar,458878,521567,-1.09039998,54.58589935,72455112.9506754,64356.2427493133
363,E14000892,Redditch,401238,258510,-1.98319995,52.22480011,148653017.204261,88626.6535842904
364,E14000893,Reigate,525733,152598,-0.19939999,51.25870132,111830973.924896,73580.328778389
365,E14000894,Ribble Valley,369878,446287,-2.46000004,53.91189957,632619596.947761,179872.229878955
366,E14000895,Richmond (Yorks),412781,495786,-1.80480003,54.35739899,2077861040.23873,363828.334191642
367,E14000896,Richmond Park,519834,173049,-0.27700001,51.44380188,37118575.5527803,37754.13854232
368,E14000897,Rochdale,392416,415285,-2.11610007,53.63399887,85561405.8352399,55771.8798342338
369,E14000898,Rochester and Strood,578207,175196,0.56317002,51.4477005,148660134.943672,152165.981577514
