objectid,pcon17cd,pcon17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
469,E14000998,Tooting,527687,172670,-0.16419999,51.43859863,11217073.5491843,17498.2285717289
470,E14000999,Torbay,290905,64048,-3.53850007,50.46609879,35766457.7560358,46286.8827522496
471,E14001000,Torridge and West Devon,244314,100575,-4.20979977,50.78379822,1702868741.25713,424935.945531367
472,E14001001,Totnes,279926,51138,-3.68899989,50.34790039,569105797.232315,306941.775718883
473,E14001002,Tottenham,532898,189292,-0.083,51.58679962,13152337.4400489,18025.1896253524
474,E14001003,Truro and Falmouth,182689,51267,-5.05410004,50.32120132,444662648.233125,293275.978843213
475,E14001004,Tunbridge Wells,566713,140725,0.38183999,51.14149857,248052838.611997,130195.460500328
476,E14001005,Twickenham,514896,171607,-0.34850001,51.43180084,29151542.5470219,33549.4058930559
477,E14001006,Tynemouth,433254,571149,-1.48119998,55.03379822,38139757.6576886,36459.5540156134
478,E14001007,Uxbridge and South Ruislip,508041,183856,-0.44330001,51.54330063,30045599.0097704,32287.421111214
479,E14001008,Vauxhall,530310,176643,-0.1251,51.47380066,8563248.74468133,17316.2179716121
480,E14001009,Wakefield,430382,416329,-1.54190004,53.64260101,77869705.9142286,61827.0200201969
481,E14001010,Wallasey,326806,391347,-3.1026001,53.41379929,23206567.606777,27676.6657819985
482,E14001011,Walsall North,399391,300845,-2.01040006,52.60540009,26941969.2425756,31350.2384842849
483,E14001012,Walsall South,401479,297306,-1.97959995,52.57360077,33018976.7753416,38408.6293316967
484,E14001013,Walthamstow,537216,189197,-0.0208,51.5848999,16175351.9211712,19647.2488675633
485,E14001014,Wansbeck,423326,585770,-1.63540006,55.16569901,136906670.936142,82642.5445532103
486,E14001015,Wantage,442287,190881,-1.39059997,51.61520004,584439459.491077,159979.000911058
487,E14001016,Warley,400825,287646,-1.9892,52.48669815,19363585.1002469,24336.1717261541
488,E14001017,Warrington North,362731,392971,-2.5624001,53.43220139,91397536.5370806,58930.2178279042
489,E14001018,Warrington South,362664,384845,-2.5624001,53.35919952,89225625.1128109,92478.3041654099
490,E14001019,Warwick and Leamington,427748,263012,-1.5948,52.26459885,90164999.3399517,60988.539446905
491,E14001020,Washington and Sunderland West,431484,556783,-1.51049995,54.90480042,42557217.2633966,48139.5657886706
492,E14001021,Watford,509752,198347,-0.41420001,51.6731987,36950192.4899812,38993.4229423401
493,E14001022,Waveney,643591,289401,1.58326995,52.44820023,247253204.157308,157789.633136789
494,E14001023,Wealden,552834,124884,0.1769,51.00299835,571034159.191785,211207.802619348
495,E14001024,Weaver Vale,357932,378463,-2.63260007,53.30139923,166157879.558154,105834.917600113
496,E14001025,Wellingborough,491876,265617,-0.65460002,52.28099823,165543635.35673,90882.0747897558
497,E14001026,Wells,349692,146261,-2.72160006,51.2132988,555799997.312599,165163.216518782
498,E14001027,Welwyn Hatfield,525345,208467,-0.1851,51.76089859,114067799.263527,77412.3578011639
499,E14001028,Wentworth and Dearne,442975,399603,-1.35370004,53.49140167,90291301.9392596,80684.0687258269
500,E14001029,West Bromwich East,402098,293072,-1.97039998,52.53549957,27797249.7167518,30918.461438602
501,E14001030,West Bromwich West,397511,292210,-2.0381,52.52780151,27537148.0482684,34737.3651436833
502,E14001031,West Dorset,357765,99663,-2.6006,50.79499817,1033040348.15288,271342.712472448
503,E14001032,West Ham,539774,183149,0.01365,51.5298996,17331894.0967816,25601.1516601476
504,E14001033,West Lancashire,342047,408082,-2.87639999,53.56610107,262319440.587997,97880.145885833
505,E14001034,West Suffolk,580944,275380,0.65504998,52.34659958,818355630.422203,297962.96279424
506,E14001035,West Worcestershire,380454,250018,-2.28699994,52.14810181,705309605.399391,288612.246348172
507,E14001036,Westminster North,525949,182218,-0.1858,51.52479935,7972097.60278653,17710.5332815703
508,E14001037,Westmorland and Lonsdale,352958,492385,-2.72469997,54.32490158,1349522902.62071,321079.154341727
509,E14001038,Weston-Super-Mare,338994,160991,-2.87719989,51.34469986,146338124.250958,92526.1886349527
510,E14001039,Wigan,357776,408202,-2.63899994,53.56869888,60482486.3827484,40050.9915750321
511,E14001040,Wimbledon,524128,170000,-0.2163,51.41540146,21178232.0010733,21544.7961725974
512,E14001041,Winchester,451629,135559,-1.26370001,51.11700058,324877678.548216,123069.683575969
513,E14001042,Windsor,490470,171462,-0.69980001,51.43489838,148312720.062259,91230.6400254925
514,E14001043,Wirral South,330364,382283,-3.04710007,53.332901,60808161.9639709,54736.1550424904
515,E14001044,Wirral West,324738,386733,-3.13260007,53.37210083,47938538.6690207,37493.0063749053
516,E14001045,Witham,586792,214917,0.70773,51.80170059,372514123.712756,187846.382228455
517,E14001046,Witney,434343,215816,-1.5029,51.83990097,714429343.298796,155657.808662157
518,E14001047,Woking,496149,155762,-0.62239999,51.29290009,98984969.2882564,72990.8932870287
519,E14001048,Wokingham,470404,168144,-0.98909998,51.40800095,156044530.159009,86592.7390269974
520,E14001049,Wolverhampton North East,393362,301509,-2.09940004,52.61130142,24763955.5445598,28593.816978163
521,E14001050,Wolverhampton South East,393533,296490,-2.09680009,52.56620026,24773330.4763243,27138.5676910312
522,E14001051,Wolverhampton South West,389010,298671,-2.16359997,52.58570099,23125059.4861073,28344.5063995984
523,E14001052,Worcester,385725,255196,-2.21020007,52.19480133,33292033.7714795,30423.6756290796
524,E14001053,Workington,317334,543173,-3.28660011,54.77659988,675697024.335868,319842.546672696
525,E14001054,Worsley and Eccles South,372907,399589,-2.40980005,53.49229813,59661372.703508,49529.7221297971
526,E14001055,Worthing West,511068,104626,-0.4242,50.83050156,30442718.0578229,37183.7170040297
527,E14001056,Wycombe,479280,190191,-0.85659999,51.60499954,139947328.22753,81906.5495545448
528,E14001057,Wyre and Preston North,351597,440598,-2.73740005,53.85929871,266191677.08311,151757.74822796
529,E14001058,Wyre Forest,384106,276388,-2.2349,52.38529968,195415453.210475,97483.2650961366
530,E14001059,Wythenshawe and Sale East,380730,389917,-2.29130006,53.40570068,36555359.3264608,39761.831355429
531,E14001060,Yeovil,340522,114840,-2.84770012,50.92990112,400988779.136673,146700.419920682
532,E14001061,York Central,459887,451276,-1.08889997,53.95410156,23512925.4929135,34799.381649462
533,E14001062,York Outer,461058,457909,-1.0697,54.0135994,248422689.132906,135581.68088038
534,N06000001,Belfast East,152079,529068,-5.83799982,54.59519958,55294687.2934612,41739.464086443
535,N06000002,Belfast North,145236,534734,-5.94859982,54.64260101,50378248.7250096,39960.8070275489
536,N06000003,Belfast South,145758,526423,-5.93330002,54.56840134,44863460.8450934,45201.5401354844
537,N06000004,Belfast West,141839,529165,-5.99620008,54.5909996,45143858.3551686,38374.2024709219
538,N06000005,East Antrim,146667,564009,-5.95200014,54.90579987,593295678.010661,197835.778125497
539,N06000006,East Londonderry,89620,579624,-6.85559988,55.01350021,1277145118.69359,232865.252023823
540,N06000007,Fermanagh and South Tyrone,40652,510258,-7.53259993,54.36009979,2511754839.67064,463731.240871197
541,N06000008,Foyle,62897,578624,-7.27059984,54.98720169,184012245.619765,80585.5494667874
542,N06000009,Lagan Valley,136134,513375,-6.07019997,54.44649887,468079696.99011,142772.026916765
543,N06000010,Mid Ulster,96559,546851,-6.71309996,54.72430038,1350375014.11542,200111.197189902
544,N06000011,Newry and Armagh,101133,493856,-6.58869982,54.25230026,1082776919.95698,214502.506063206
545,N06000012,North Antrim,126408,577142,-6.2796998,55.01279831,1387332573.96058,277359.606497885
546,N06000013,North Down,161862,532857,-5.69000006,54.63389969,115449668.888849,93861.3472465241
547,N06000014,South Antrim,129133,539234,-6.20160007,54.67459869,785572701.535006,163821.193830832
548,N06000015,South Down,143313,489313,-5.93900013,54.2344017,1250441951.76299,284649.822208263
549,N06000016,Strangford,163128,515007,-5.6560998,54.47439957,655344601.250326,173426.638250077
550,N06000017,Upper Bann,115180,517442,-6.39629984,54.47159958,480160319.29377,130734.471093671
551,N06000018,West Tyrone,49749,544816,-7.43429995,54.67570114,1996139935.43632,299627.286203031
552,S14000001,Aberdeen North,389796,808947,-2.17030001,57.1711998,47452236.5386278,56067.9777782853
553,S14000002,Aberdeen South,384133,802600,-2.26360011,57.11410141,82309074.7401046,82648.3375156597
554,S14000003,Airdrie and Shotts,283330,662650,-3.86470008,55.84289932,229469560.80691,90498.2394757589
555,S14000004,Angus,344353,761976,-2.91140008,56.74610138,1973580864.48043,301034.394474507
556,S14000005,Argyll and Bute,200740,715442,-5.22109985,56.28939819,7007062876.04169,3464463.80625019
557,S14000006,"Ayr, Carrick and Cumnock",238951,603944,-4.53849983,55.30319977,1628606449.5559,310208.165797597
558,S14000007,Banff and Buchan,386375,849383,-2.22919989,57.53440094,1589930572.54686,329353.657893963
559,S14000008,"Berwickshire, Roxburgh and Selkirk",356199,624537,-2.69510007,55.51259995,3839180207.59984,449297.896230364
560,S14000009,"Caithness, Sutherland and Easter Ross",258617,918473,-4.40269995,58.13249969,8627323934.51552,1536050.049086
561,S14000010,Central Ayrshire,238948,628173,-4.55249977,55.52069855,232404333.950057,131281.91654479
562,S14000011,"Coatbridge, Chryston and Bellshill",269133,669782,-4.09469986,55.90330124,83446724.5221603,72088.1731148486
563,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",268306,677738,-4.11180019,55.97449875,190590007.984243,101773.301506332
564,S14000013,Dumfries and Galloway,252742,567858,-4.30270004,54.98350143,3995716422.40877,802953.062368544
565,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",305399,610681,-3.49460006,55.38100052,4292789713.45073,547774.85410866
566,S14000015,Dundee East,347896,736729,-2.84840012,56.5196991,152929676.12143,73840.7588848912
567,S14000016,Dundee West,333100,735387,-3.08850002,56.50579834,118484861.471795,57899.5545450284
568,S14000017,Dunfermline and West Fife,304851,688767,-3.53040004,56.0821991,228662006.768835,103714.364633514
569,S14000018,East Dunbartonshire,256840,674119,-4.29349995,55.93870163,85183850.3338541,67504.4533784283
570,S14000019,"East Kilbride, Strathaven and Lesmahagow",268907,644910,-4.0862999,55.67990112,408396198.320528,150032.405544439
571,S14000020,East Lothian,354854,672351,-2.72429991,55.94210052,679242188.74537,191045.491017662
572,S14000021,East Renfrewshire,251929,653115,-4.36059999,55.74869919,174254073.547164,91789.4796726421
573,S14000022,Edinburgh East,328720,672753,-3.14269996,55.94250107,25818944.3959493,27854.6545572573
574,S14000023,Edinburgh North and Leith,324819,675786,-3.20600009,55.96920013,20076667.1841038,29079.322481469
575,S14000024,Edinburgh South,326643,669657,-3.17510009,55.91439819,28683002.1386249,28566.9658650201
576,S14000025,Edinburgh South West,318312,666474,-3.30739999,55.88439941,90268590.4352298,59384.2059172518
577,S14000026,Edinburgh West,316926,673573,-3.33170009,55.94800186,98497143.2231791,67396.1739537312
578,S14000027,Na h-Eileanan an Iar,126473,932862,-6.65719986,58.19940186,3097150962.74561,3444889.46338044
579,S14000028,Falkirk,283492,683752,-3.87120008,56.03239822,174664120.071057,92914.3203543052
580,S14000029,Glasgow Central,257847,663263,-4.27169991,55.84159851,20279722.5785746,44334.7141181708
581,S14000030,Glasgow East,265327,664585,-4.15299988,55.85559845,38724558.4076159,36453.3746284419
582,S14000031,Glasgow North,256777,668773,-4.29160023,55.89070129,16870706.2639191,26961.0488671814
583,S14000032,Glasgow North East,261760,668310,-4.2118001,55.88800049,27746110.6183951,31122.697925346
584,S14000033,Glasgow North West,253175,669165,-4.34940004,55.89319992,18072348.6975204,24963.4929567037
585,S14000034,Glasgow South,258684,660035,-4.2565999,55.81280136,26715723.1338176,34871.4795431646
586,S14000035,Glasgow South West,253614,663773,-4.33949995,55.84489822,26306985.1716451,33308.9521833787
587,S14000036,Glenrothes,328253,698904,-3.1572001,56.1772995,177232074.036346,84143.655185317
588,S14000037,Gordon,370511,829595,-2.49169993,57.35589981,1516975896.46946,342866.834375177
589,S14000038,Inverclyde,227922,670899,-4.75379992,55.90029907,161938815.771668,76224.2156122517
590,S14000039,"Inverness, Nairn, Badenoch and Strathspey",263458,814404,-4.26160002,57.20000076,4928711003.3287,445971.595287041
591,S14000040,Kilmarnock and Loudoun,255398,633167,-4.2947998,55.5705986,701814868.154809,212208.025465013
592,S14000041,Kirkcaldy and Cowdenbeath,322259,690504,-3.2513001,56.10089874,148630416.824356,108794.935681929
593,S14000042,Lanark and Hamilton East,290722,650833,-3.7420001,55.73849869,363440562.917899,143705.0215226
594,S14000043,Linlithgow and East Falkirk,292663,672963,-3.7198,55.93769836,280049357.42575,142671.888176207
595,S14000044,Livingston,302051,663045,-3.56599998,55.8506012,271434624.744833,110058.480153943
596,S14000045,Midlothian,330088,659217,-3.11730003,55.82109833,355280498.625326,124139.264996518
597,S14000046,Moray,328024,843593,-3.20180011,57.47679901,2237832001.10531,422165.678104134
598,S14000047,Motherwell and Wishaw,277792,656049,-3.95009995,55.78219986,58082038.4162964,46448.9266405021
599,S14000048,North Ayrshire and Arran,195921,636363,-5.23899984,55.57799911,817127240.90408,284480.14072045
600,S14000049,North East Fife,338928,714312,-2.98889995,56.31719971,770657210.166521,199975.306714201
601,S14000050,Ochil and South Perthshire,293171,714167,-3.72819996,56.30780029,1712043754.37182,312182.180635916
602,S14000051,Orkney and Shetland,434516,0,-1.37339997,60.50500107,2482548644.39273,3187238.29672225
603,S14000052,Paisley and Renfrewshire North,243336,668523,-4.50619984,55.88430023,123353613.759241,89540.5525232838
604,S14000053,Paisley and Renfrewshire South,239382,660301,-4.56449986,55.80920029,138112167.112081,82790.4744448797
605,S14000054,Perth and North Perthshire,282156,752482,-3.92350006,56.64920044,3830609046.40769,462324.623114818
606,S14000055,"Ross, Skye and Lochaber",211302,834601,-5.13899994,57.36259842,12605900857.5286,3316009.02611021
607,S14000056,Rutherglen and Hamilton West,268594,657784,-4.09749985,55.79539871,51386426.7731302,55757.4747782847
608,S14000057,Stirling,255980,708769,-4.32590008,56.24950027,2253411864.46373,335343.801540915
609,S14000058,West Aberdeenshire and Kincardine,342584,792624,-2.94729996,57.02109909,3266977612.68625,478751.331664115
610,S14000059,West Dunbartonshire,242904,681587,-4.52069998,56.00139999,177250304.563512,97358.629539831
611,W07000041,Ynys Mon,245222,378346,-4.32289982,53.27939987,714502839.648542,331721.133986644
612,W07000042,Delyn,318273,370838,-3.2256999,53.22829819,282608749.481896,137330.590366363
613,W07000043,Alyn and Deeside,330102,362484,-3.0467,53.1548996,154916683.021358,123402.54916409
614,W07000044,Wrexham,336339,353957,-2.95169997,53.07899857,103152955.844465,68498.080127518
615,W07000045,Llanelli,249768,205472,-4.17659998,51.72779846,234991674.725181,220349.503915687
616,W07000046,Gower,256421,192102,-4.07490015,51.6094017,298089366.206944,268666.491818125
617,W07000047,Swansea West,262790,193117,-3.98329997,51.62009811,32743998.968819,34676.8136207089
618,W07000048,Swansea East,267106,196223,-3.92219996,51.64910126,48750802.6116353,40494.37941305
619,W07000049,Aberavon,281996,189115,-3.70469999,51.58850098,177317860.934943,120243.011672957
620,W07000050,Cardiff Central,319313,179182,-3.1638999,51.50579834,16797459.3062149,20863.6548689997
621,W07000051,Cardiff North,316056,181631,-3.21140003,51.52730179,42655041.8834267,39943.5029209095
622,W07000052,Rhondda,296949,196169,-3.49099994,51.65480042,99872800.841252,50155.686227783
623,W07000053,Torfaen,327169,200182,-3.05509996,51.6955986,117600355.631587,79207.0286868872
624,W07000054,Monmouth,337812,209231,-2.90280008,51.77830124,830420884.715362,217147.624933913
625,W07000055,Newport East,338924,188370,-2.8829999,51.59090042,122442984.23025,76974.8906623462
626,W07000056,Newport West,328762,186182,-3.02920008,51.56999969,96531192.646531,97673.6892898591
627,W07000057,Arfon,256909,361593,-4.14020014,53.13230133,409241702.93607,124426.230177527
628,W07000058,Aberconwy,276098,360888,-3.85330009,53.13069916,604281950.025672,203574.021362936
629,W07000059,Clwyd West,297156,361691,-3.5388999,53.14239883,926073845.194855,218784.309887698
630,W07000060,Vale of Clwyd,306235,374013,-3.40689993,53.25479889,216263904.711997,123729.833115587
631,W07000061,Dwyfor Meirionnydd,273979,326158,-3.87140012,52.81819916,2138969454.3657,515844.2308762
632,W07000062,Clwyd South,327082,342911,-3.08739996,52.97859955,622788738.669933,198242.054897621
633,W07000063,Montgomeryshire,301718,304472,-3.45350003,52.6291008,2181356701.07013,333947.628748557
634,W07000064,Ceredigion,267126,268437,-3.94989991,52.29800034,1789031559.49269,357994.432329019
635,W07000065,Preseli Pembrokeshire,193261,226426,-5.00629997,51.89789963,1180495749.20116,457183.795966806
636,W07000066,Carmarthen West and South Pembrokeshire,216128,213332,-4.66739988,51.78829956,1018379768.64165,407490.562666025
637,W07000067,Carmarthen East and Dinefwr,262869,228244,-3.99609995,51.93579865,1555766131.67808,310493.47748598
638,W07000068,Brecon and Radnorshire,305328,248413,-3.38429999,52.12590027,3014909836.52381,351900.524831902
639,W07000069,Neath,280613,203826,-3.72970009,51.72040176,264961521.317524,109316.594894128
640,W07000070,Cynon Valley,297160,203213,-3.49000001,51.71820068,182387598.373484,85237.1902747543
641,W07000071,Merthyr Tydfil and Rhymney,307976,203618,-3.33360004,51.72370148,161892179.355975,73209.9322342166
642,W07000072,Blaenau Gwent,318236,206771,-3.18589997,51.75360107,108719033.178685,64674.5172723314
643,W07000073,Bridgend,287202,179713,-3.62660003,51.50510025,84672516.2473493,58728.7588823276
644,W07000074,Ogmore,291741,187410,-3.56360006,51.57509995,202935406.070848,80540.6250883992
645,W07000075,Pontypridd,307034,185796,-3.34249997,51.56340027,105017003.094141,71093.5911583802
646,W07000076,Caerphilly,316860,188276,-3.20140004,51.58720016,114529516.057719,70542.8286952371
647,W07000077,Islwyn,320517,196276,-3.15039992,51.6595993,112003273.887958,64294.0750896701
648,W07000078,Vale of Glamorgan,302293,173083,-3.40739989,51.44829941,315170194.9571,100848.085830778
649,W07000079,Cardiff West,312437,178939,-3.26290011,51.50260162,50993058.4386705,39585.2986925575
650,W07000080,Cardiff South and Penarth,317979,171824,-3.18140006,51.43939972,47909335.9954736,67888.8942080234
