ID,Name,Region,Atrial Fibrilliation,Asthma,Cancer,Coronary Heart Disease,Chronic Kidney Disease,COPD,Cardiovascular Disease (Primary Prevention),Dementia,Depression,Diabetes,Epilepsy,Heart Failure,High Blood Pressure,Learning Disabilities,Serious Mental Illness,Obesity,Osteoporisis,Peripheral Arterial Disease,Palliative Care,Rheumatoid Arthritis,Stroke & Transient Ischaemic Attack
E14000603,Broadland,East of England,0.02775,0.07424,0.03878,0.038,0.04556,0.01687,0.01306,0.01065,0.08453,0.06738,0.00894,0.00883,0.16219,0.00662,0.00781,0.09888,0.00363,0.00598,0.00404,0.01072,0.02423
E14000604,Bromley and Chislehurst,London,0.01862,0.04955,0.02557,0.02741,0.03474,0.01496,0.00961,0.00907,0.08854,0.0562,0.00645,0.00666,0.12832,0.00266,0.00912,0.07992,0.00331,0.00401,0.00473,0.00701,0.01473
E14000605,Bromsgrove,West Midlands,0.0229,0.06293,0.03437,0.03349,0.05368,0.01658,0.01145,0.00944,0.11249,0.06588,0.00769,0.01064,0.15116,0.00444,0.00684,0.10519,0.01152,0.00615,0.00537,0.00891,0.02115
E14000606,Broxbourne,East of England,0.018,0.05405,0.02982,0.02942,0.03223,0.01719,0.0127,0.0057,0.08845,0.06312,0.00626,0.00658,0.14318,0.00423,0.00758,0.1021,0.00309,0.00443,0.00514,0.00794,0.01688
E14000607,Broxtowe,East Midlands,0.02045,0.06055,0.02941,0.03309,0.04795,0.01954,0.01107,0.01044,0.09299,0.06396,0.00893,0.00992,0.13871,0.00539,0.0076,0.10444,0.00831,0.00567,0.00487,0.00646,0.01892
E14000608,Buckingham,South East,0.02172,0.06116,0.03058,0.0296,0.03434,0.0148,0.01304,0.00771,0.09104,0.05497,0.00624,0.00723,0.14394,0.00323,0.006,0.07634,0.00686,0.00503,0.00436,0.00692,0.01505
E14000609,Burnley,North West,0.01885,0.0697,0.02749,0.03965,0.03488,0.02944,0.01333,0.00828,0.11168,0.07761,0.01006,0.00866,0.14384,0.00502,0.01054,0.11917,0.00494,0.01038,0.00424,0.00694,0.01978
E14000610,Burton,East Midlands,0.01889,0.06202,0.02805,0.02957,0.04056,0.01843,0.00959,0.00765,0.0906,0.07204,0.00874,0.00993,0.13462,0.00511,0.00677,0.1014,0.00443,0.00493,0.00306,0.00772,0.01616
E14000611,Bury North,North West,0.01847,0.06582,0.02612,0.03295,0.04637,0.02177,0.0056,0.00944,0.08401,0.07357,0.00933,0.00933,0.14003,0.00537,0.00987,0.10855,0.00635,0.00678,0.00357,0.00713,0.01929
E14000612,Bury South,North West,0.01626,0.06106,0.02389,0.03235,0.04696,0.02081,0.00597,0.00882,0.07026,0.07383,0.00936,0.00841,0.14171,0.00506,0.01061,0.10926,0.00534,0.00645,0.00331,0.00706,0.01764
