ID,Name,Region Name,Year,Cons. A*-C %,Cons. KS4 Avg Att. 8,Cons. % Outstanding (Secondary),Cons. % Good (Secondary),Cons. % In need of Improvement (Secondary),Cons. % Inadequate (Secondary),Cons. % Outstanding (Primary),Cons. % Good (Primary),Cons. % In need of Improvement (Primary),Cons. % Inadequate (Primary),Cons. Average Progress 8,
E14001004,Tunbridge Wells,South East,2018,0.788,55.6,0.69,0.31,0.00,0.00,0.20,0.75,0.05,0.00,0.45,
E14001005,Twickenham,London,2018,0.711,51.3,0.54,0.05,0.41,0.00,0.44,0.42,0.10,0.04,0.15,
E14001006,Tynemouth,North East,2018,0.697,47.7,0.32,0.61,0.04,0.04,0.36,0.61,0.02,0.00,-0.12,
E14001007,Uxbridge and South Ruislip,London,2018,0.648,46.5,0.48,0.33,0.08,0.11,0.33,0.53,0.15,0.00,0.12,
E14001008,Vauxhall,London,2018,0.644,44.8,0.61,0.28,0.00,0.11,0.43,0.51,0.06,0.00,-0.04,
E14001009,Wakefield,Yorkshire and The Humber,2018,0.634,42.9,0.20,0.80,0.00,0.00,0.23,0.65,0.10,0.02,-0.25,
E14001010,Wallasey,North West,2018,0.494,39.3,0.34,0.37,0.29,0.00,0.10,0.86,0.05,0.00,-0.37,
E14001011,Walsall North,West Midlands,2018,0.444,39.0,0.00,0.28,0.50,0.22,0.07,0.71,0.07,0.15,-0.45,
E14001012,Walsall South,West Midlands,2018,0.624,46.9,0.45,0.37,0.18,0.00,0.17,0.68,0.15,0.00,0.02,
E14001013,Walthamstow,London,2018,0.619,45.8,0.20,0.80,0.00,0.00,0.18,0.82,0.00,0.00,0.29,
E14001014,Wansbeck,North East,2018,0.609,43.9,0.19,0.06,0.62,0.14,0.16,0.62,0.22,0.00,-0.20,
E14001015,Wantage,South East,2018,0.717,50.3,0.37,0.36,0.26,0.00,0.12,0.65,0.24,0.00,0.14,
E14001016,Warley,West Midlands,2018,0.535,42.1,0.33,0.47,0.21,0.00,0.22,0.57,0.21,0.00,-0.18,
E14001017,Warrington North,North West,2018,0.650,45.6,0.00,1.00,0.00,0.00,0.22,0.74,0.04,0.00,-0.07,
E14001018,Warrington South,North West,2018,0.682,47.9,0.19,0.53,0.22,0.06,0.27,0.71,0.02,0.00,-0.17,
E14001019,Warwick and Leamington,West Midlands,2018,0.637,46.0,0.00,1.00,0.00,0.00,0.22,0.71,0.05,0.02,0.02,
E14001020,Washington and Sunderland West,North East,2018,0.572,42.9,0.00,0.57,0.24,0.19,0.12,0.83,0.05,0.00,-0.37,
E14001021,Watford,East of England,2018,0.768,56.0,0.70,0.30,0.00,0.00,0.27,0.67,0.06,0.00,0.33,
E14001022,Waveney,East of England,2018,0.590,43.0,0.00,0.55,0.32,0.14,0.14,0.44,0.38,0.04,0.05,
E14001023,Wealden,South East,2018,0.659,47.5,0.00,1.00,0.00,0.00,0.08,0.76,0.08,0.08,0.16,
E14001024,Weaver Vale,North West,2018,0.689,48.4,0.31,0.47,0.15,0.06,0.28,0.62,0.10,0.00,0.03,
E14001025,Wellingborough,East Midlands,2018,0.618,44.7,0.21,0.61,0.00,0.18,0.12,0.54,0.26,0.07,0.06,
E14001026,Wells,South West,2018,0.679,48.1,0.11,0.89,0.00,0.00,0.21,0.61,0.18,0.00,0.03,
E14001027,Welwyn Hatfield,East of England,2018,0.657,46.6,0.16,0.69,0.15,0.00,0.21,0.73,0.06,0.00,-0.12,
E14001028,Wentworth and Dearne,Yorkshire and The Humber,2018,0.567,41.9,0.00,0.41,0.29,0.30,0.12,0.64,0.13,0.11,-0.14,
E14001029,West Bromwich East,West Midlands,2018,0.520,40.5,0.00,0.75,0.16,0.08,0.14,0.66,0.20,0.00,-0.34,
E14001030,West Bromwich West,West Midlands,2018,0.472,39.4,0.34,0.46,0.00,0.20,0.25,0.53,0.13,0.08,-0.52,
E14001031,West Dorset,South West,2018,0.696,49.8,0.32,0.39,0.05,0.24,0.09,0.64,0.25,0.01,0.16,
E14001032,West Ham,London,2018,0.631,47.1,0.49,0.38,0.13,0.00,0.35,0.58,0.04,0.03,0.15,
E14001033,West Lancashire,North West,2018,0.615,44.8,0.00,0.56,0.44,0.00,0.37,0.57,0.06,0.00,-0.33,
E14001034,West Suffolk,East of England,2018,0.578,43.4,0.31,0.51,0.18,0.00,0.09,0.66,0.17,0.08,0.03,
E14001035,West Worcestershire,West Midlands,2018,0.675,49.3,0.21,0.79,0.00,0.00,0.27,0.54,0.11,0.07,0.06,
E14001036,Westminster North,London,2018,0.735,51.4,0.80,0.00,0.00,0.20,0.21,0.73,0.07,0.00,0.55,
E14001037,Westmorland and Lonsdale,North West,2018,0.700,49.6,0.23,0.47,0.29,0.00,0.11,0.86,0.03,0.00,0.08,
E14001038,Weston-Super-Mare,South West,2018,0.609,43.6,0.46,0.11,0.20,0.23,0.08,0.84,0.07,0.01,-0.25,
E14001039,Wigan,North West,2018,0.628,44.9,0.00,0.76,0.12,0.12,0.38,0.58,0.00,0.03,-0.41,
E14001040,Wimbledon,London,2018,0.729,52.7,0.64,0.36,0.00,0.00,0.38,0.53,0.09,0.00,0.43,
E14001041,Winchester,South East,2018,0.782,53.9,0.42,0.58,0.00,0.00,0.29,0.64,0.04,0.03,0.18,
E14001042,Windsor,South East,2018,0.743,52.3,0.45,0.36,0.19,0.00,0.19,0.72,0.09,0.00,0.36,
E14001043,Wirral South,North West,2018,0.713,52.5,0.68,0.00,0.32,0.00,0.22,0.69,0.10,0.00,0.16,
E14001044,Wirral West,North West,2018,0.757,53.7,0.32,0.68,0.00,0.00,0.38,0.46,0.15,0.00,0.27,
E14001045,Witham,East of England,2018,0.615,44.2,0.21,0.79,0.00,0.00,0.21,0.64,0.10,0.05,-0.28,
E14001046,Witney,South East,2018,0.711,49.0,0.17,0.75,0.08,0.00,0.17,0.66,0.15,0.02,0.05,
E14001047,Woking,South East,2018,0.717,49.4,0.33,0.67,0.00,0.00,0.23,0.74,0.03,0.00,0.16,
E14001048,Wokingham,South East,2018,0.774,53.5,0.16,0.71,0.13,0.00,0.18,0.68,0.10,0.04,0.37,
E14001049,Wolverhampton North East,West Midlands,2018,0.508,41.9,0.22,0.48,0.30,0.00,0.15,0.77,0.02,0.05,-0.19,
E14001050,Wolverhampton South East,West Midlands,2018,0.525,42.9,0.17,0.63,0.20,0.00,0.15,0.63,0.12,0.10,0.10,
E14001051,Wolverhampton South West,West Midlands,2018,0.684,48.2,0.15,0.58,0.27,0.00,0.03,0.75,0.22,0.00,-0.04,
E14001052,Worcester,West Midlands,2018,0.665,47.7,0.00,1.00,0.00,0.00,0.10,0.82,0.05,0.03,0.15,
E14001053,Workington,North West,2018,0.609,44.3,0.00,0.67,0.33,0.00,0.24,0.68,0.07,0.01,-0.26,
E14001054,Worsley and Eccles South,North West,2018,0.533,41.0,0.21,0.14,0.31,0.34,0.25,0.66,0.09,0.00,-0.56,
E14001055,Worthing West,South East,2018,0.645,44.3,0.00,1.00,0.00,0.00,0.00,0.75,0.21,0.04,-0.05,
E14001056,Wycombe,South East,2018,0.813,57.4,0.49,0.38,0.13,0.00,0.14,0.73,0.11,0.02,0.35,
E14001057,Wyre and Preston North,North West,2018,0.734,50.1,0.49,0.21,0.30,0.00,0.43,0.54,0.02,0.00,0.00,
E14001058,Wyre Forest,West Midlands,2018,0.589,44.2,0.00,0.62,0.21,0.17,0.06,0.73,0.14,0.07,-0.12,
E14001059,Wythenshawe and Sale East,North West,2018,0.572,44.3,0.26,0.47,0.15,0.13,0.28,0.69,0.00,0.03,-0.39,
E14001060,Yeovil,South West,2018,0.592,42.0,0.23,0.59,0.18,0.00,0.35,0.56,0.09,0.00,-0.36,
E14001061,York Central,Yorkshire and The Humber,2018,0.640,47.4,0.74,0.26,0.00,0.00,0.16,0.67,0.14,0.03,0.01,
E14001062,York Outer,Yorkshire and The Humber,2018,0.749,51.6,0.69,0.22,0.00,0.09,0.31,0.66,0.00,0.03,0.19,
E14000530,Aldershot,South East,2017,0.584,41.4,0.25,0.25,0.50,0.00,0.39,0.39,0.23,0.00,-0.31,
E14000531,Aldridge-Brownhills,West Midlands,2017,0.555,43.1,0.17,0.83,0.00,0.00,0.21,0.67,0.08,0.04,-0.35,
E14000532,Altrincham and Sale West,North West,2017,0.825,59.1,0.75,0.25,0.00,0.00,0.64,0.32,0.00,0.04,0.36,
E14000533,Amber Valley,East Midlands,2017,0.579,42.9,0.00,0.50,0.17,0.33,0.05,0.76,0.10,0.10,-0.26,
E14000534,Arundel and South Downs,South East,2017,0.705,48.0,0.40,0.40,0.20,0.00,0.21,0.62,0.18,0.00,0.08,
E14000535,Ashfield,East Midlands,2017,0.548,44.1,0.00,0.83,0.00,0.17,0.15,0.67,0.12,0.06,-0.16,
E14000536,Ashford,South East,2017,0.599,44.4,0.14,0.71,0.14,0.00,0.11,0.89,0.00,0.00,-0.17,
E14000537,Ashton-under-Lyne,North West,2017,0.588,44.3,0.40,0.20,0.20,0.20,0.14,0.72,0.10,0.03,-0.28,
E14000538,Aylesbury,South East,2017,0.733,52.1,0.38,0.13,0.38,0.13,0.15,0.85,0.00,0.00,0.06,
E14000539,Banbury,South East,2017,0.649,45.6,0.00,0.88,0.13,0.00,0.03,0.88,0.08,0.03,-0.06,
E14000540,Barking,London,2017,0.651,48.1,0.17,0.67,0.17,0.00,0.07,0.86,0.07,0.00,0.33,
E14000541,Barnsley Central,Yorkshire and The Humber,2017,0.584,41.7,0.00,0.33,0.00,0.67,0.27,0.50,0.15,0.08,-0.12,
E14000542,Barnsley East,Yorkshire and The Humber,2017,0.541,41.8,0.00,0.25,0.75,0.00,0.23,0.57,0.10,0.10,-0.39,
E14000543,Barrow and Furness,North West,2017,0.629,44.9,0.00,0.67,0.17,0.17,0.12,0.81,0.07,0.00,-0.26,
E14000544,Basildon and Billericay,East,2017,0.657,46.1,0.20,0.60,0.00,0.20,0.13,0.83,0.04,0.00,0.02,
E14000545,Basingstoke,South East,2017,0.596,41.6,0.00,0.43,0.57,0.00,0.21,0.76,0.03,0.00,-0.55,
E14000546,Bassetlaw,East Midlands,2017,0.700,48.7,0.40,0.60,0.00,0.00,0.07,0.88,0.05,0.00,0.29,
E14000547,Bath,South West,2017,0.556,47.8,0.38,0.38,0.13,0.13,0.24,0.67,0.10,0.00,-0.15,
E14000548,Batley and Spen,Yorkshire and The Humber,2017,0.663,48.8,0.29,0.71,0.00,0.00,0.08,0.68,0.16,0.08,0.14,
E14000549,Battersea,London,2017,0.741,52.4,0.33,0.67,0.00,0.00,0.25,0.60,0.10,0.05,0.52,
E14000550,Beaconsfield,South East,2017,0.733,53.5,0.25,0.38,0.25,0.13,0.25,0.69,0.00,0.06,0.06,
E14000551,Beckenham,London,2017,0.672,46.3,0.50,0.50,0.00,0.00,0.32,0.63,0.05,0.00,-0.04,
E14000552,Bedford,East,2017,0.527,43.1,0.13,0.75,0.13,0.00,0.23,0.64,0.14,0.00,-0.08,
E14000553,Bermondsey and Old Southwark,London,2017,0.689,49.4,0.44,0.44,0.00,0.11,0.39,0.45,0.12,0.03,0.18,
E14000554,Berwick-upon-Tweed,North East,2017,0.596,43.3,0.00,0.63,0.25,0.13,0.23,0.60,0.16,0.00,-0.24,
E14000555,Bethnal Green and Bow,London,2017,0.678,49.0,0.40,0.30,0.30,0.00,0.20,0.80,0.00,0.00,0.32,
E14000556,Beverley and Holderness,Yorkshire and The Humber,2017,0.659,46.7,0.00,0.67,0.17,0.17,0.08,0.82,0.05,0.05,-0.06,
E14000557,Bexhill and Battle,South East,2017,0.673,48.9,0.40,0.60,0.00,0.00,0.11,0.83,0.06,0.00,0.15,
E14000558,Bexleyheath and Crayford,London,2017,0.676,49.5,0.29,0.57,0.14,0.00,0.24,0.62,0.10,0.05,-0.06,
E14000559,Birkenhead,North West,2017,0.613,44.3,0.20,0.20,0.60,0.00,0.11,0.74,0.11,0.04,-0.17,
E14000560,"Birmingham, Edgbaston",West Midlands,2017,0.633,49.9,0.40,0.50,0.00,0.10,0.14,0.57,0.24,0.05,0.19,
E14000561,"Birmingham, Erdington",West Midlands,2017,0.489,38.4,0.00,0.60,0.40,0.00,0.14,0.61,0.21,0.04,-0.27,
E14000562,"Birmingham, Hall Green",West Midlands,2017,0.692,47.1,0.57,0.43,0.00,0.00,0.35,0.52,0.10,0.03,0.24,
E14000563,"Birmingham, Hodge Hill",West Midlands,2017,0.525,43.2,0.11,0.67,0.11,0.11,0.16,0.56,0.25,0.03,0.17,
E14000564,"Birmingham, Ladywood",West Midlands,2017,0.583,46.4,0.56,0.25,0.06,0.13,0.17,0.55,0.17,0.12,0.03,
E14000565,"Birmingham, Northfield",West Midlands,2017,0.517,41.4,0.17,0.67,0.17,0.00,0.03,0.61,0.29,0.06,-0.34,
E14000566,"Birmingham, Perry Barr",West Midlands,2017,0.549,42.7,0.38,0.38,0.13,0.13,0.10,0.74,0.13,0.03,-0.22,
E14000567,"Birmingham, Selly Oak",West Midlands,2017,0.623,49.7,0.29,0.57,0.14,0.00,0.26,0.67,0.07,0.00,-0.04,
E14000568,"Birmingham, Yardley",West Midlands,2017,0.529,41.7,0.33,0.50,0.17,0.00,0.03,0.72,0.14,0.10,-0.28,
E14000569,Bishop Auckland,North East,2017,0.595,43.6,0.17,0.17,0.50,0.17,0.30,0.66,0.05,0.00,-0.29,
E14000570,Blackburn,North West,2017,0.687,47.9,0.22,0.44,0.33,0.00,0.10,0.74,0.15,0.00,0.29,
E14000571,Blackley and Broughton,North West,2017,0.549,43.5,0.13,0.50,0.13,0.25,0.16,0.78,0.03,0.03,-0.05,
E14000572,Blackpool North and Cleveleys,North West,2017,0.486,40.0,0.00,0.50,0.50,0.00,0.05,0.95,0.00,0.00,-0.42,
E14000573,Blackpool South,North West,2017,0.461,36.1,0.00,0.00,0.67,0.33,0.06,0.81,0.13,0.00,-0.76,
E14000574,Blaydon,North East,2017,0.640,49.1,0.20,0.20,0.60,0.00,0.38,0.56,0.06,0.00,-0.04,
E14000575,Blyth Valley,North East,2017,0.573,42.7,0.00,0.83,0.17,0.00,0.00,0.86,0.10,0.05,-0.29,
E14000576,Bognor Regis and Littlehampton,South East,2017,0.582,42.3,0.00,0.67,0.33,0.00,0.05,0.74,0.21,0.00,-0.27,
E14000577,Bolsover,East Midlands,2017,0.583,42.7,0.20,0.40,0.40,0.00,0.09,0.70,0.14,0.07,-0.36,
E14000578,Bolton North East,North West,2017,0.666,47.3,0.33,0.50,0.17,0.00,0.25,0.66,0.06,0.03,-0.07,
E14000579,Bolton South East,North West,2017,0.615,43.4,0.25,0.50,0.13,0.13,0.24,0.59,0.16,0.00,-0.19,
E14000580,Bolton West,North West,2017,0.571,40.4,0.00,0.75,0.00,0.25,0.25,0.66,0.06,0.03,-0.48,
E14000581,Bootle,North West,2017,0.452,38.9,0.00,0.20,0.40,0.40,0.07,0.82,0.11,0.00,-0.67,
E14000582,Boston and Skegness,East Midlands,2017,0.498,39.4,0.00,0.13,0.50,0.38,0.12,0.73,0.12,0.03,-0.54,
E14000583,Bosworth,East Midlands,2017,0.673,45.3,0.57,0.29,0.14,0.00,0.10,0.73,0.17,0.00,-0.13,
E14000584,Bournemouth East,South West,2017,0.737,51.1,0.33,0.67,0.00,0.00,0.31,0.63,0.06,0.00,-0.04,
E14000585,Bournemouth West,South West,2017,0.552,41.1,0.00,0.83,0.17,0.00,0.13,0.73,0.13,0.00,-0.03,
E14000586,Bracknell,South East,2017,0.652,46.8,0.33,0.33,0.33,0.00,0.13,0.59,0.22,0.06,-0.06,
E14000587,Bradford East,Yorkshire and The Humber,2017,0.568,41.7,0.25,0.50,0.13,0.13,0.11,0.69,0.14,0.06,0.11,
E14000588,Bradford South,Yorkshire and The Humber,2017,0.479,38.7,0.17,0.00,0.33,0.50,0.07,0.61,0.25,0.07,-0.23,
E14000589,Bradford West,Yorkshire and The Humber,2017,0.555,43.2,0.20,0.30,0.50,0.00,0.17,0.58,0.17,0.08,0.21,
E14000590,Braintree,East,2017,0.637,44.9,0.00,1.00,0.00,0.00,0.09,0.74,0.09,0.09,-0.14,
E14000591,Brent Central,London,2017,0.573,43.4,0.20,0.80,0.00,0.00,0.27,0.65,0.04,0.04,0.31,
E14000592,Brent North,London,2017,0.714,51.3,0.33,0.56,0.11,0.00,0.23,0.77,0.00,0.00,0.58,
