ID,Name,Region Name,Year,Cons. A*-C %,Cons. KS4 Avg Att. 8,Cons. % Outstanding (Secondary),Cons. % Good (Secondary),Cons. % In need of Improvement (Secondary),Cons. % Inadequate (Secondary),Cons. % Outstanding (Primary),Cons. % Good (Primary),Cons. % In need of Improvement (Primary),Cons. % Inadequate (Primary),Cons. Average Progress 8,
E14000626,Chatham and Aylesford,South East,2017,0.521,40.1,0.00,0.50,0.38,0.13,0.13,0.71,0.13,0.03,-0.3,
E14000627,Cheadle,North West,2017,0.727,51.3,0.17,0.50,0.33,0.00,0.36,0.57,0.07,0.00,0.21,
E14000628,Chelmsford,East,2017,0.760,54.5,0.33,0.67,0.00,0.00,0.29,0.50,0.21,0.00,0.17,
E14000629,Chelsea and Fulham,London,2017,0.788,55.6,0.71,0.29,0.00,0.00,0.28,0.67,0.06,0.00,0.49,
E14000630,Cheltenham,South West,2017,0.700,52.0,0.40,0.60,0.00,0.00,0.46,0.46,0.08,0.00,0.12,
E14000631,Chesham and Amersham,South East,2017,0.768,53.8,0.38,0.63,0.00,0.00,0.34,0.61,0.00,0.05,0.12,
E14000632,Chesterfield,East Midlands,2017,0.703,48.0,0.17,0.67,0.17,0.00,0.06,0.81,0.09,0.03,-0.02,
E14000633,Chichester,South East,2017,0.663,46.7,0.50,0.33,0.17,0.00,0.05,0.79,0.14,0.02,-0.07,
E14000634,Chingford and Woodford Green,London,2017,0.755,51.3,0.33,0.67,0.00,0.00,0.37,0.53,0.05,0.05,0.15,
E14000635,Chippenham,South West,2017,0.669,47.5,0.00,0.60,0.40,0.00,0.12,0.67,0.15,0.06,-0.04,
E14000636,Chipping Barnet,London,2017,0.794,56.4,0.33,0.56,0.11,0.00,0.32,0.68,0.00,0.00,0.41,
E14000637,Chorley,North West,2017,0.645,45.0,0.17,0.83,0.00,0.00,0.18,0.75,0.05,0.02,-0.17,
E14000638,Christchurch,South West,2017,0.678,47.8,0.14,0.57,0.29,0.00,0.33,0.60,0.07,0.00,-0.06,
E14000639,Cities of London and Westminster,London,2017,0.778,55.9,0.75,0.25,0.00,0.00,0.40,0.60,0.00,0.00,0.45,
E14000640,City of Chester,North West,2017,0.647,47.5,0.17,0.67,0.17,0.00,0.27,0.67,0.07,0.00,-0.11,
E14000641,City of Durham,North East,2017,0.621,45.9,0.33,0.17,0.33,0.17,0.17,0.72,0.11,0.00,-0.34,
E14000642,Clacton,East,2017,0.477,41.0,0.00,1.00,0.00,0.00,0.00,0.79,0.16,0.05,-0.04,
E14000643,Cleethorpes,Yorkshire and The Humber,2017,0.639,46.8,0.43,0.57,0.00,0.00,0.14,0.71,0.11,0.03,0.22,
E14000644,Colchester,East,2017,0.701,50.0,0.25,0.75,0.00,0.00,0.15,0.68,0.12,0.06,0.04,
E14000645,Colne Valley,Yorkshire and The Humber,2017,0.655,45.8,0.17,0.50,0.17,0.17,0.14,0.66,0.14,0.06,-0.1,
E14000646,Congleton,North West,2017,0.760,50.8,0.43,0.57,0.00,0.00,0.29,0.55,0.13,0.03,0.02,
E14000647,Copeland,North West,2017,0.626,45.1,0.40,0.40,0.00,0.20,0.09,0.78,0.11,0.02,-0.26,
E14000648,Corby,East Midlands,2017,0.613,45.1,0.25,0.25,0.50,0.00,0.05,0.68,0.22,0.05,-0.08,
E14000649,Coventry North East,West Midlands,2017,0.536,41.1,0.13,0.25,0.38,0.25,0.10,0.77,0.13,0.00,-0.2,
E14000650,Coventry North West,West Midlands,2017,0.551,42.1,0.20,0.60,0.20,0.00,0.00,0.93,0.07,0.00,-0.13,
E14000651,Coventry South,West Midlands,2017,0.658,45.3,0.38,0.50,0.00,0.13,0.08,0.88,0.04,0.00,-0.02,
E14000652,Crawley,South East,2017,0.559,42.9,0.00,0.86,0.14,0.00,0.08,0.58,0.29,0.04,-0.02,
E14000653,Crewe and Nantwich,North West,2017,0.600,43.9,0.00,0.71,0.14,0.14,0.13,0.67,0.17,0.03,-0.27,
E14000654,Croydon Central,London,2017,0.495,39.8,0.25,0.63,0.13,0.00,0.23,0.42,0.19,0.15,-0.17,
E14000655,Croydon North,London,2017,0.662,47.9,0.38,0.63,0.00,0.00,0.13,0.60,0.23,0.03,0.16,
E14000656,Croydon South,London,2017,0.680,47.9,0.33,0.33,0.33,0.00,0.37,0.59,0.04,0.00,0.18,
E14000657,Dagenham and Rainham,London,2017,0.619,45.0,0.00,0.50,0.38,0.13,0.12,0.81,0.08,0.00,0.05,
E14000658,Darlington,North East,2017,0.608,44.4,0.17,0.17,0.67,0.00,0.13,0.67,0.17,0.04,-0.29,
E14000659,Dartford,South East,2017,0.721,51.0,0.30,0.70,0.00,0.00,0.14,0.71,0.11,0.04,0,
E14000660,Daventry,East Midlands,2017,0.628,45.3,0.00,0.60,0.40,0.00,0.10,0.82,0.06,0.02,-0.08,
E14000661,Denton and Reddish,North West,2017,0.586,45.0,0.00,0.50,0.17,0.33,0.08,0.84,0.08,0.00,-0.07,
E14000662,Derby North,East Midlands,2017,0.580,43.2,0.29,0.29,0.29,0.14,0.07,0.67,0.15,0.11,-0.09,
E14000663,Derby South,East Midlands,2017,0.520,39.0,0.00,0.40,0.00,0.60,0.11,0.66,0.17,0.06,-0.36,
E14000664,Derbyshire Dales,East Midlands,2017,0.746,50.0,0.00,1.00,0.00,0.00,0.18,0.74,0.07,0.01,-0.17,
E14000665,Devizes,South West,2017,0.571,42.6,0.17,0.67,0.17,0.00,0.13,0.72,0.13,0.02,-0.32,
E14000666,Dewsbury,Yorkshire and The Humber,2017,0.616,44.8,0.11,0.44,0.22,0.22,0.22,0.61,0.15,0.02,0.03,
E14000667,Don Valley,Yorkshire and The Humber,2017,0.595,44.4,0.00,0.29,0.57,0.14,0.18,0.55,0.12,0.15,-0.2,
E14000668,Doncaster Central,Yorkshire and The Humber,2017,0.598,45.0,0.33,0.17,0.33,0.17,0.04,0.57,0.25,0.14,0.02,
E14000669,Doncaster North,Yorkshire and The Humber,2017,0.554,40.8,0.20,0.40,0.20,0.20,0.16,0.62,0.16,0.05,-0.37,
E14000670,Dover,South East,2017,0.543,42.8,0.14,0.29,0.57,0.00,0.24,0.76,0.00,0.00,-0.21,
E14000671,Dudley North,West Midlands,2017,0.544,41.3,0.17,0.50,0.17,0.17,0.16,0.68,0.05,0.11,-0.23,
E14000672,Dudley South,West Midlands,2017,0.604,43.9,0.00,0.60,0.20,0.20,0.00,0.73,0.23,0.05,-0.05,
E14000673,Dulwich and West Norwood,London,2017,0.588,45.7,0.20,0.80,0.00,0.00,0.45,0.45,0.09,0.00,-0.16,
E14000674,Ealing Central and Acton,London,2017,0.693,48.6,0.33,0.33,0.00,0.33,0.27,0.60,0.13,0.00,0.29,
E14000675,Ealing North,London,2017,0.708,48.8,0.43,0.57,0.00,0.00,0.19,0.69,0.12,0.00,0.38,
E14000676,"Ealing, Southall",London,2017,0.708,48.6,0.25,0.75,0.00,0.00,0.12,0.77,0.04,0.08,0.58,
E14000677,Easington,North East,2017,0.522,41.7,0.20,0.80,0.00,0.00,0.07,0.83,0.03,0.07,-0.3,
E14000678,East Devon,South West,2017,0.678,45.5,0.20,0.60,0.20,0.00,0.13,0.77,0.07,0.03,-0.13,
E14000679,East Ham,London,2017,0.675,50.6,0.50,0.33,0.17,0.00,0.36,0.57,0.07,0.00,0.66,
E14000680,East Hampshire,South East,2017,0.769,50.0,0.40,0.60,0.00,0.00,0.11,0.78,0.11,0.00,-0.03,
E14000681,East Surrey,South East,2017,0.672,45.4,0.00,1.00,0.00,0.00,0.19,0.78,0.03,0.00,-0.11,
E14000682,East Worthing and Shoreham,South East,2017,0.614,45.7,0.20,0.60,0.20,0.00,0.20,0.70,0.05,0.05,0.01,
E14000683,East Yorkshire,Yorkshire and The Humber,2017,0.646,45.8,0.00,0.40,0.40,0.20,0.15,0.78,0.07,0.00,0,
E14000684,Eastbourne,South East,2017,0.583,43.9,0.14,0.71,0.14,0.00,0.05,0.85,0.05,0.05,-0.06,
E14000685,Eastleigh,South East,2017,0.700,48.5,0.25,0.75,0.00,0.00,0.17,0.79,0.04,0.00,0.01,
E14000686,Eddisbury,North West,2017,0.614,46.3,0.67,0.33,0.00,0.00,0.26,0.72,0.00,0.02,-0.04,
E14000687,Edmonton,London,2017,0.571,46.2,0.17,0.67,0.17,0.00,0.08,0.67,0.21,0.04,0.09,
E14000688,Ellesmere Port and Neston,North West,2017,0.501,42.5,0.00,0.75,0.00,0.25,0.24,0.62,0.14,0.00,-0.15,
E14000689,Elmet and Rothwell,Yorkshire and The Humber,2017,0.656,47.5,0.20,0.40,0.40,0.00,0.23,0.62,0.13,0.03,0.2,
E14000690,Eltham,London,2017,0.594,46.1,0.50,0.33,0.17,0.00,0.22,0.74,0.04,0.00,-0.04,
E14000691,Enfield North,London,2017,0.619,45.3,0.30,0.60,0.10,0.00,0.23,0.73,0.04,0.00,0,
E14000692,"Enfield, Southgate",London,2017,0.665,48.0,0.50,0.50,0.00,0.00,0.33,0.56,0.11,0.00,0.21,
E14000693,Epping Forest,East,2017,0.672,47.7,0.33,0.50,0.17,0.00,0.04,0.74,0.13,0.09,0.13,
E14000694,Epsom and Ewell,London,2017,0.765,54.2,0.43,0.43,0.14,0.00,0.46,0.50,0.04,0.00,0.28,
E14000695,Erewash,East Midlands,2017,0.610,42.4,0.00,0.50,0.50,0.00,0.18,0.57,0.21,0.04,-0.54,
E14000696,Erith and Thamesmead,London,2017,0.586,43.6,0.20,0.40,0.20,0.20,0.20,0.77,0.03,0.00,-0.23,
E14000697,Esher and Walton,South East,2017,0.740,48.7,0.25,0.50,0.00,0.25,0.22,0.78,0.00,0.00,0,
E14000698,Exeter,South West,2017,0.615,45.9,0.00,0.80,0.20,0.00,0.27,0.59,0.14,0.00,0.02,
E14000699,Fareham,South East,2017,0.698,47.1,0.20,0.80,0.00,0.00,0.31,0.58,0.12,0.00,-0.19,
E14000700,Faversham and Mid Kent,South East,2017,0.606,44.6,0.50,0.25,0.00,0.25,0.21,0.70,0.06,0.03,-0.23,
E14000701,Feltham and Heston,London,2017,0.714,49.8,0.63,0.38,0.00,0.00,0.24,0.72,0.03,0.00,0.53,
E14000702,Filton and Bradley Stoke,South West,2017,0.650,45.8,0.00,0.67,0.00,0.33,0.06,0.84,0.10,0.00,-0.21,
E14000703,Finchley and Golders Green,London,2017,0.801,56.5,0.56,0.44,0.00,0.00,0.38,0.50,0.12,0.00,0.62,
E14000704,Folkestone and Hythe,South East,2017,0.550,43.6,0.40,0.60,0.00,0.00,0.21,0.71,0.03,0.05,-0.05,
E14000705,Forest of Dean,South West,2017,0.617,43.1,0.17,0.33,0.17,0.33,0.12,0.76,0.08,0.04,-0.19,
E14000706,Fylde,North West,2017,0.666,45.2,0.00,0.67,0.33,0.00,0.31,0.59,0.10,0.00,-0.23,
E14000707,Gainsborough,East Midlands,2017,0.683,50.5,0.43,0.14,0.14,0.29,0.18,0.76,0.07,0.00,-0.11,
E14000708,Garston and Halewood,North West,2017,0.484,40.3,0.00,0.20,0.80,0.00,0.07,0.85,0.07,0.00,-0.45,
E14000709,Gateshead,North East,2017,0.645,45.1,0.50,0.00,0.25,0.25,0.43,0.50,0.07,0.00,-0.11,
E14000710,Gedling,East Midlands,2017,0.681,48.6,0.17,0.50,0.17,0.17,0.26,0.65,0.06,0.03,0.05,
E14000711,Gillingham and Rainham,South East,2017,0.540,43.0,0.20,0.60,0.20,0.00,0.04,0.75,0.08,0.13,-0.06,
E14000712,Gloucester,South West,2017,0.725,51.6,0.33,0.33,0.33,0.00,0.22,0.59,0.13,0.06,-0.08,
E14000713,Gosport,South East,2017,0.560,42.3,0.00,0.75,0.00,0.25,0.17,0.53,0.30,0.00,-0.24,
E14000714,Grantham and Stamford,East Midlands,2017,0.733,50.1,0.44,0.44,0.00,0.11,0.16,0.71,0.05,0.08,0.07,
E14000715,Gravesham,South East,2017,0.635,45.8,0.25,0.75,0.00,0.00,0.07,0.70,0.19,0.04,-0.05,
E14000716,Great Grimsby,Yorkshire and The Humber,2017,0.494,38.6,0.00,0.50,0.50,0.00,0.04,0.74,0.17,0.04,-0.33,
E14000717,Great Yarmouth,East,2017,0.535,42.3,0.17,0.67,0.00,0.17,0.00,0.72,0.25,0.03,-0.07,
E14000718,Greenwich and Woolwich,London,2017,0.630,44.6,0.33,0.33,0.33,0.00,0.38,0.62,0.00,0.00,-0.1,
E14000719,Guildford,South East,2017,0.757,52.1,0.50,0.33,0.00,0.17,0.37,0.63,0.00,0.00,0.26,
E14000720,Hackney North and Stoke Newington,London,2017,0.680,48.6,0.14,0.86,0.00,0.00,0.27,0.70,0.00,0.03,0.17,
E14000721,Hackney South and Shoreditch,London,2017,0.652,50.1,0.25,0.75,0.00,0.00,0.40,0.48,0.12,0.00,0.58,
E14000722,Halesowen and Rowley Regis,West Midlands,2017,0.567,45.2,0.20,0.80,0.00,0.00,0.13,0.74,0.13,0.00,0.02,
E14000723,Halifax,Yorkshire and The Humber,2017,0.684,50.4,0.50,0.17,0.00,0.33,0.29,0.56,0.09,0.06,0.11,
E14000724,Haltemprice and Howden,Yorkshire and The Humber,2017,0.742,50.5,0.25,0.75,0.00,0.00,0.18,0.61,0.14,0.07,0.17,
E14000725,Halton,North West,2017,0.551,44.8,0.33,0.33,0.33,0.00,0.14,0.69,0.17,0.00,-0.24,
E14000726,Hammersmith,London,2017,0.624,46.5,0.29,0.43,0.14,0.14,0.52,0.44,0.04,0.00,-0.08,
E14000727,Hampstead and Kilburn,London,2017,0.666,47.3,0.00,1.00,0.00,0.00,0.17,0.83,0.00,0.00,0.1,
E14000728,Harborough,East Midlands,2017,0.704,47.5,0.33,0.56,0.11,0.00,0.30,0.60,0.10,0.00,0.18,
E14000729,Harlow,East,2017,0.578,43.1,0.17,0.67,0.17,0.00,0.00,0.90,0.03,0.06,-0.07,
E14000730,Harrogate and Knaresborough,Yorkshire and The Humber,2017,0.763,52.3,0.57,0.43,0.00,0.00,0.23,0.67,0.07,0.03,0.26,
E14000731,Harrow East,London,2017,0.705,50.3,0.57,0.43,0.00,0.00,0.35,0.65,0.00,0.00,0.47,
E14000732,Harrow West,London,2017,0.730,50.9,0.75,0.25,0.00,0.00,0.41,0.53,0.00,0.06,0.56,
E14000733,Hartlepool,North East,2017,0.595,44.0,0.00,0.40,0.60,0.00,0.23,0.63,0.13,0.00,-0.27,
E14000734,Harwich and North Essex,East,2017,0.564,41.1,0.33,0.67,0.00,0.00,0.24,0.71,0.03,0.03,-0.39,
E14000735,Hastings and Rye,South East,2017,0.495,40.4,0.00,0.50,0.50,0.00,0.08,0.68,0.16,0.08,-0.16,
E14000736,Havant,South East,2017,0.571,42.7,0.00,1.00,0.00,0.00,0.19,0.74,0.07,0.00,-0.27,
E14000737,Hayes and Harlington,London,2017,0.618,46.0,0.14,0.71,0.14,0.00,0.00,0.88,0.08,0.04,0.4,
E14000738,Hazel Grove,North West,2017,0.613,43.0,0.00,0.33,0.67,0.00,0.14,0.77,0.05,0.05,-0.33,
E14000739,Hemel Hempstead,East,2017,0.628,43.8,0.00,0.71,0.14,0.14,0.10,0.77,0.13,0.00,-0.28,
E14000740,Hemsworth,Yorkshire and The Humber,2017,0.611,44.3,0.00,0.71,0.29,0.00,0.06,0.71,0.17,0.06,-0.08,
E14000741,Hendon,London,2017,0.722,49.6,0.17,0.67,0.17,0.00,0.31,0.59,0.09,0.00,0.36,
E14000742,Henley,South East,2017,0.729,48.6,0.14,0.71,0.00,0.14,0.13,0.78,0.07,0.02,0.03,
E14000743,Hereford and South Herefordshire,West Midlands,2017,0.632,44.0,0.11,0.44,0.33,0.11,0.14,0.75,0.11,0.00,-0.1,
E14000744,Hertford and Stortford,East,2017,0.784,53.5,0.64,0.27,0.09,0.00,0.18,0.71,0.05,0.05,0.22,
E14000745,Hertsmere,East,2017,0.733,51.1,0.25,0.38,0.13,0.25,0.19,0.71,0.10,0.00,0.1,
E14000746,Hexham,North East,2017,0.728,50.2,0.08,0.67,0.08,0.17,0.28,0.60,0.05,0.08,0.25,
E14000747,Heywood and Middleton,North West,2017,0.574,44.0,0.17,0.33,0.50,0.00,0.23,0.69,0.09,0.00,-0.17,
E14000748,High Peak,East Midlands,2017,0.657,46.6,0.14,0.43,0.29,0.14,0.05,0.74,0.12,0.09,-0.13,
E14000749,Hitchin and Harpenden,East,2017,0.801,54.8,0.83,0.17,0.00,0.00,0.28,0.58,0.12,0.02,0.27,
E14000750,Holborn and St Pancras,London,2017,0.681,48.9,0.13,0.75,0.13,0.00,0.46,0.54,0.00,0.00,0.08,
E14000751,Hornchurch and Upminster,London,2017,0.729,49.5,0.20,0.50,0.20,0.10,0.25,0.71,0.04,0.00,0.03,
E14000752,Hornsey and Wood Green,London,2017,0.662,48.8,0.50,0.50,0.00,0.00,0.30,0.70,0.00,0.00,0.36,
E14000753,Horsham,South East,2017,0.796,54.5,0.75,0.25,0.00,0.00,0.11,0.78,0.11,0.00,0.46,
E14000754,Houghton and Sunderland South,North East,2017,0.558,41.7,0.00,0.25,0.75,0.00,0.12,0.76,0.04,0.08,-0.55,
E14000755,Hove,South East,2017,0.706,48.2,0.00,1.00,0.00,0.00,0.12,0.88,0.00,0.00,0.03,
E14000756,Huddersfield,Yorkshire and The Humber,2017,0.534,40.5,0.00,0.67,0.33,0.00,0.04,0.83,0.13,0.00,-0.19,
E14000757,Huntingdon,East,2017,0.640,44.0,0.00,0.80,0.20,0.00,0.14,0.60,0.23,0.03,-0.12,
E14000758,Hyndburn,North West,2017,0.599,43.4,0.00,0.71,0.14,0.14,0.15,0.82,0.03,0.00,-0.2,
E14000759,Ilford North,London,2017,0.699,49.0,0.43,0.57,0.00,0.00,0.26,0.70,0.04,0.00,0.18,
E14000760,Ilford South,London,2017,0.732,50.5,0.63,0.38,0.00,0.00,0.15,0.75,0.05,0.05,0.58,
E14000761,Ipswich,East,2017,0.617,44.7,0.00,0.33,0.67,0.00,0.15,0.54,0.23,0.08,0,
E14000762,Isle of Wight,South East,2017,0.548,40.1,0.00,0.57,0.29,0.14,0.03,0.78,0.18,0.03,-0.36,
E14000763,Islington North,London,2017,0.560,41.9,0.33,0.33,0.17,0.17,0.27,0.73,0.00,0.00,-0.13,
E14000764,Islington South and Finsbury,London,2017,0.756,50.7,0.50,0.50,0.00,0.00,0.09,0.83,0.00,0.09,0.52,
E14000765,Jarrow,North East,2017,0.539,41.0,0.00,0.60,0.20,0.20,0.24,0.69,0.07,0.00,-0.39,
E14000766,Keighley,Yorkshire and The Humber,2017,0.589,43.5,0.25,0.00,0.75,0.00,0.20,0.57,0.17,0.07,-0.13,
E14000767,Kenilworth and Southam,West Midlands,2017,0.783,52.6,0.50,0.50,0.00,0.00,0.09,0.88,0.03,0.00,0.33,
E14000768,Kensington,London,2017,0.802,57.5,0.75,0.25,0.00,0.00,0.50,0.50,0.00,0.00,0.54,
E14000769,Kettering,East Midlands,2017,0.632,44.7,0.17,0.33,0.33,0.17,0.14,0.59,0.24,0.03,-0.06,
E14000770,Kingston and Surbiton,London,2017,0.747,52.7,0.50,0.50,0.00,0.00,0.17,0.74,0.09,0.00,0.3,
E14000771,Kingston upon Hull East,Yorkshire and The Humber,2017,0.522,42.2,0.00,0.25,0.75,0.00,0.10,0.66,0.24,0.00,-0.09,
E14000772,Kingston upon Hull North,Yorkshire and The Humber,2017,0.539,45.3,0.40,0.40,0.20,0.00,0.17,0.79,0.04,0.00,0.22,
E14000773,Kingston upon Hull West and Hessle,Yorkshire and The Humber,2017,0.514,42.3,0.50,0.50,0.00,0.00,0.21,0.58,0.21,0.00,-0.18,
E14000774,Kingswood,South West,2017,0.573,40.2,0.00,0.17,0.67,0.17,0.13,0.79,0.04,0.04,-0.52,
E14000775,Knowsley,North West,2017,0.447,35.7,0.00,0.00,0.75,0.25,0.06,0.71,0.20,0.03,-0.77,
E14000776,Lancaster and Fleetwood,North West,2017,0.762,52.0,0.43,0.43,0.14,0.00,0.21,0.71,0.09,0.00,-0.1,
E14000777,Leeds Central,Yorkshire and The Humber,2017,0.420,35.3,0.17,0.17,0.50,0.17,0.14,0.69,0.14,0.03,-0.26,
E14000778,Leeds East,Yorkshire and The Humber,2017,0.509,41.0,0.00,0.40,0.40,0.20,0.14,0.72,0.14,0.00,-0.1,
E14000779,Leeds North East,Yorkshire and The Humber,2017,0.655,46.4,0.17,0.67,0.17,0.00,0.35,0.52,0.13,0.00,0.17,
E14000780,Leeds North West,Yorkshire and The Humber,2017,0.628,47.3,0.00,1.00,0.00,0.00,0.05,0.86,0.05,0.05,0.11,
E14000781,Leeds West,Yorkshire and The Humber,2017,0.561,44.4,0.25,0.25,0.50,0.00,0.07,0.67,0.15,0.11,-0.06,
E14000782,Leicester East,East Midlands,2017,0.614,44.2,0.33,0.17,0.17,0.33,0.13,0.71,0.13,0.03,0.09,
E14000783,Leicester South,East Midlands,2017,0.571,43.5,0.14,0.57,0.00,0.29,0.25,0.63,0.08,0.04,-0.13,
E14000784,Leicester West,East Midlands,2017,0.484,41.2,0.20,0.80,0.00,0.00,0.07,0.78,0.15,0.00,0.01,
E14000785,Leigh,North West,2017,0.623,46.6,0.00,0.43,0.43,0.14,0.26,0.71,0.00,0.03,-0.14,
E14000786,Lewes,London,2017,0.664,46.7,0.20,0.60,0.00,0.20,0.12,0.80,0.08,0.00,-0.06,
E14000787,Lewisham East,London,2017,0.600,43.7,0.20,0.40,0.40,0.00,0.50,0.45,0.05,0.00,-0.19,
E14000788,Lewisham West and Penge,London,2017,0.585,44.3,0.25,0.25,0.25,0.25,0.27,0.69,0.04,0.00,-0.25,
E14000789,"Lewisham, Deptford",London,2017,0.602,45.9,0.33,0.33,0.33,0.00,0.27,0.69,0.04,0.00,-0.22,
E14000790,Leyton and Wanstead,London,2017,0.644,47.1,0.00,1.00,0.00,0.00,0.41,0.59,0.00,0.00,0.29,
E14000791,Lichfield,West Midlands,2017,0.720,48.9,0.17,0.67,0.17,0.00,0.15,0.71,0.09,0.06,0.07,
E14000792,Lincoln,East Midlands,2017,0.591,45.0,0.14,0.71,0.14,0.00,0.22,0.63,0.07,0.07,-0.15,
E14000793,"Liverpool, Riverside",North West,2017,0.720,49.5,0.13,0.75,0.13,0.00,0.26,0.57,0.17,0.00,-0.03,
E14000794,"Liverpool, Walton",North West,2017,0.458,38.9,0.00,0.40,0.60,0.00,0.26,0.43,0.26,0.04,-0.59,
E14000795,"Liverpool, Wavertree",North West,2017,0.637,50.5,0.29,0.29,0.43,0.00,0.19,0.67,0.15,0.00,0.05,
E14000796,"Liverpool, West Derby",North West,2017,0.583,41.9,0.14,0.29,0.43,0.14,0.04,0.83,0.13,0.00,-0.46,
E14000797,Loughborough,East Midlands,2017,0.676,45.0,0.00,0.71,0.14,0.14,0.12,0.76,0.12,0.00,-0.2,
E14000798,Louth and Horncastle,East Midlands,2017,0.641,45.7,0.30,0.40,0.10,0.20,0.07,0.79,0.09,0.05,-0.23,
E14000799,Ludlow,West Midlands,2017,0.714,47.8,0.00,0.86,0.14,0.00,0.14,0.74,0.12,0.00,-0.05,
E14000800,Luton North,East,2017,0.574,43.4,0.14,0.57,0.29,0.00,0.00,0.91,0.09,0.00,0.08,
E14000801,Luton South,East,2017,0.559,44.2,0.17,0.50,0.17,0.17,0.18,0.50,0.32,0.00,0.01,
E14000802,Macclesfield,North West,2017,0.731,50.8,0.40,0.40,0.20,0.00,0.32,0.65,0.03,0.00,0.07,
E14000803,Maidenhead,South East,2017,0.773,51.4,0.13,0.88,0.00,0.00,0.38,0.54,0.08,0.00,0.28,
E14000804,Maidstone and The Weald,South East,2017,0.714,51.0,0.45,0.36,0.18,0.00,0.17,0.76,0.00,0.07,0,
E14000805,Makerfield,North West,2017,0.657,46.7,0.33,0.33,0.33,0.00,0.25,0.66,0.06,0.03,-0.18,
E14000806,Maldon,East,2017,0.620,45.2,0.00,1.00,0.00,0.00,0.13,0.80,0.03,0.03,-0.08,
E14000807,Manchester Central,North West,2017,0.541,42.7,0.25,0.00,0.50,0.25,0.21,0.67,0.13,0.00,-0.2,
E14000808,"Manchester, Gorton",North West,2017,0.568,45.0,0.33,0.50,0.17,0.00,0.26,0.63,0.11,0.00,0.27,
E14000809,"Manchester, Withington",North West,2017,0.611,46.2,0.00,0.40,0.60,0.00,0.47,0.47,0.05,0.00,0.08,
E14000810,Mansfield,East Midlands,2017,0.570,42.2,0.00,0.71,0.00,0.29,0.03,0.74,0.21,0.03,-0.11,
E14000811,Meon Valley,South East,2017,0.660,46.7,0.00,1.00,0.00,0.00,0.23,0.77,0.00,0.00,-0.06,
E14000812,Meriden,West Midlands,2017,0.596,45.4,0.14,0.57,0.00,0.29,0.30,0.60,0.10,0.00,-0.29,
E14000813,Mid Bedfordshire,East,2017,0.756,48.9,0.17,0.75,0.08,0.00,0.32,0.68,0.00,0.00,-0.06,
E14000814,Mid Derbyshire,East Midlands,2017,0.760,50.9,0.25,0.75,0.00,0.00,0.20,0.72,0.08,0.00,0.03,
E14000815,Mid Dorset and North Poole,South West,2017,0.697,49.5,0.22,0.56,0.22,0.00,0.52,0.38,0.05,0.05,0.12,
E14000816,Mid Norfolk,East,2017,0.681,46.4,0.13,0.75,0.00,0.13,0.10,0.69,0.17,0.05,-0.08,
E14000817,Mid Sussex,South East,2017,0.707,48.0,0.33,0.50,0.17,0.00,0.06,0.78,0.16,0.00,0.05,
E14000818,Mid Worcestershire,West Midlands,2017,0.644,44.6,0.40,0.40,0.20,0.00,0.18,0.68,0.10,0.05,0.06,
E14000819,Middlesbrough,North East,2017,0.570,42.8,0.00,0.67,0.17,0.17,0.24,0.68,0.08,0.00,-0.08,
E14000820,Middlesbrough South and East Cleveland,North East,2017,0.590,42.5,0.00,0.75,0.25,0.00,0.10,0.71,0.19,0.00,-0.39,
E14000821,Milton Keynes North,South East,2017,0.649,45.9,0.25,0.25,0.50,0.00,0.34,0.60,0.06,0.00,-0.26,
E14000822,Milton Keynes South,South East,2017,0.613,44.3,0.13,0.75,0.00,0.13,0.28,0.63,0.08,0.03,-0.05,
E14000823,Mitcham and Morden,London,2017,0.577,43.2,0.33,0.67,0.00,0.00,0.09,0.74,0.13,0.04,0.43,
E14000824,Mole Valley,South East,2017,0.708,48.9,0.25,0.75,0.00,0.00,0.19,0.67,0.04,0.11,-0.07,
E14000825,Morecambe and Lunesdale,North West,2017,0.482,39.6,0.00,0.50,0.00,0.50,0.18,0.79,0.03,0.00,-0.28,
E14000826,Morley and Outwood,Yorkshire and The Humber,2017,0.757,51.9,0.40,0.60,0.00,0.00,0.23,0.58,0.15,0.04,0.55,
E14000827,New Forest East,South East,2017,0.640,44.4,0.20,0.80,0.00,0.00,0.13,0.80,0.07,0.00,-0.21,
E14000828,New Forest West,South East,2017,0.734,49.0,0.25,0.50,0.25,0.00,0.28,0.64,0.08,0.00,-0.02,
E14000829,Newark,East Midlands,2017,0.718,50.1,0.60,0.00,0.20,0.20,0.29,0.67,0.02,0.02,0.07,
E14000830,Newbury,South East,2017,0.693,47.8,0.33,0.50,0.17,0.00,0.07,0.80,0.11,0.02,0.02,
E14000831,Newcastle upon Tyne Central,North East,2017,0.517,42.5,0.50,0.00,0.33,0.17,0.12,0.60,0.20,0.08,-0.18,
E14000832,Newcastle upon Tyne East,North East,2017,0.613,43.0,0.25,0.50,0.00,0.25,0.28,0.72,0.00,0.00,-0.2,
E14000833,Newcastle upon Tyne North,North East,2017,0.572,44.7,0.20,0.60,0.20,0.00,0.24,0.66,0.10,0.00,-0.33,
E14000834,Newcastle-under-Lyme,West Midlands,2017,0.591,43.0,0.00,0.50,0.33,0.17,0.15,0.78,0.07,0.00,-0.28,
E14000835,Newton Abbot,South West,2017,0.595,43.9,0.00,0.67,0.33,0.00,0.19,0.70,0.07,0.04,-0.24,
